period,cost,control,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,REARM_RIDGE,-86342.17628000016,-88082.89999999989,-671.5,-596.3237199999999,-1815.899999999745
evaluation,STRESS,REARM_RIDGE,-83021.38908000023,-86671.6999999999,-669.4999999999982,-1163.4109200000003,-3156.399999999914
earlier_diagnostic,BASE,REARM_RIDGE,-3546.461320000002,-3575.0,0.0,-8.138679999999908,-20.399999999966894
earlier_diagnostic,STRESS,REARM_RIDGE,-3505.827479999978,-3562.8999999999796,0.0,-16.272519999999986,-40.80000000000018
