period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,289,289,0,16,22,0,343
evaluation,STRESS,289,289,0,16,22,0,343
earlier_diagnostic,BASE,270,66,204,2,9,0,418
earlier_diagnostic,STRESS,270,66,204,2,9,0,418
