fit_index,fit_origin,cycles,rows,missing_features,largest_gradient
1157,2017-03-01,10,438,0,4.7704895589362195e-17
1180,2017-04-05,10,438,0,4.7704895589362195e-17
1198,2017-05-02,10,438,0,4.7704895589362195e-17
1218,2017-06-01,11,497,0,1.6675029412827058e-16
1240,2017-07-03,11,497,0,1.6675029412827058e-16
1261,2017-08-01,11,497,0,1.6675029412827058e-16
1284,2017-09-01,12,556,0,2.0122792321330962e-16
1305,2017-10-09,12,556,0,2.0122792321330962e-16
1322,2017-11-01,12,556,0,2.0122792321330962e-16
1344,2017-12-01,13,615,0,5.670377362099188e-16
1365,2018-01-02,13,615,0,5.670377362099188e-16
1387,2018-02-01,13,615,0,5.670377362099188e-16
1402,2018-03-01,14,671,0,2.445960101127298e-16
1424,2018-04-02,14,671,0,2.445960101127298e-16
1442,2018-05-02,14,671,0,2.445960101127298e-16
1464,2018-06-01,14,671,0,2.445960101127298e-16
1484,2018-07-02,14,671,0,2.445960101127298e-16
1506,2018-08-01,14,671,0,2.445960101127298e-16
1529,2018-09-03,14,671,0,2.445960101127298e-16
1548,2018-10-08,14,671,0,2.445960101127298e-16
1566,2018-11-01,15,678,0,3.226585665316861e-16
1588,2018-12-03,15,678,0,3.226585665316861e-16
1608,2019-01-02,15,678,0,3.226585665316861e-16
1630,2019-02-01,15,678,0,3.226585665316861e-16
1645,2019-03-01,15,678,0,3.226585665316861e-16
1666,2019-04-01,15,678,0,3.226585665316861e-16
1687,2019-05-06,15,678,0,3.226585665316861e-16
1707,2019-06-03,16,721,0,2.896988204881268e-16
1726,2019-07-01,16,721,0,2.896988204881268e-16
1749,2019-08-01,17,759,0,3.57895137137465e-16
1771,2019-09-02,17,759,0,3.57895137137465e-16
1791,2019-10-08,17,759,0,3.57895137137465e-16
1809,2019-11-01,17,759,0,3.57895137137465e-16
1830,2019-12-02,17,759,0,3.57895137137465e-16
1852,2020-01-02,17,759,0,3.57895137137465e-16
1868,2020-02-03,17,759,0,3.57895137137465e-16
1888,2020-03-02,17,759,0,3.57895137137465e-16
1910,2020-04-01,18,787,0,3.608224830031759e-16
1931,2020-05-06,18,787,0,3.608224830031759e-16
1949,2020-06-01,19,829,0,5.80265002714242e-16
1969,2020-07-01,19,829,0,5.80265002714242e-16
1992,2020-08-03,19,829,0,5.80265002714242e-16
2013,2020-09-01,19,829,0,5.80265002714242e-16
2035,2020-10-09,20,888,0,1.9168694409543718e-16
2051,2020-11-02,20,888,0,1.9168694409543718e-16
2072,2020-12-01,20,888,0,1.9168694409543718e-16
2095,2021-01-04,20,888,0,1.9168694409543718e-16
2115,2021-02-01,20,888,0,1.9168694409543718e-16
2130,2021-03-01,20,862,0,2.8796409701215e-16
2153,2021-04-01,20,862,0,2.8796409701215e-16
2174,2021-05-06,20,862,0,2.8796409701215e-16
2192,2021-06-01,20,862,0,2.8796409701215e-16
2213,2021-07-01,20,862,0,2.8796409701215e-16
2235,2021-08-02,20,844,0,4.0072112295064244e-16
2257,2021-09-01,20,844,0,4.0072112295064244e-16
2277,2021-10-08,20,844,0,4.0072112295064244e-16
2293,2021-11-01,20,844,0,4.0072112295064244e-16
2315,2021-12-01,20,844,0,4.0072112295064244e-16
2338,2022-01-04,20,844,0,4.0072112295064244e-16
2357,2022-02-07,20,892,0,6.175615574477433e-16
2373,2022-03-01,20,892,0,6.175615574477433e-16
2396,2022-04-01,20,892,0,6.175615574477433e-16
2415,2022-05-05,20,892,0,6.175615574477433e-16
2434,2022-06-01,20,892,0,6.175615574477433e-16
2455,2022-07-01,20,892,0,6.175615574477433e-16
2476,2022-08-01,20,892,0,6.175615574477433e-16
2499,2022-09-01,20,890,0,4.2327252813834093e-16
2520,2022-10-10,20,885,0,4.822531263215524e-16
2536,2022-11-01,20,885,0,4.822531263215524e-16
2558,2022-12-01,20,885,0,4.822531263215524e-16
2580,2023-01-03,20,885,0,4.822531263215524e-16
2596,2023-02-01,20,885,0,4.822531263215524e-16
2616,2023-03-01,20,885,0,4.822531263215524e-16
2639,2023-04-03,20,885,0,4.822531263215524e-16
2658,2023-05-04,20,885,0,4.822531263215524e-16
2678,2023-06-01,20,885,0,4.822531263215524e-16
2698,2023-07-03,20,885,0,4.822531263215524e-16
2719,2023-08-01,20,885,0,4.822531263215524e-16
2742,2023-09-01,20,885,0,4.822531263215524e-16
2762,2023-10-09,20,885,0,4.822531263215524e-16
2779,2023-11-01,20,885,0,4.822531263215524e-16
2801,2023-12-01,20,885,0,4.822531263215524e-16
2822,2024-01-02,20,885,0,4.822531263215524e-16
2844,2024-02-01,20,885,0,4.822531263215524e-16
2859,2024-03-01,20,885,0,4.822531263215524e-16
2880,2024-04-01,20,885,0,4.822531263215524e-16
2900,2024-05-06,20,885,0,4.822531263215524e-16
2920,2024-06-03,20,885,0,2.3071822230491534e-16
2939,2024-07-01,20,885,0,2.3071822230491534e-16
2962,2024-08-01,20,915,0,3.8337388819087437e-16
2984,2024-09-02,20,915,0,3.8337388819087437e-16
3003,2024-10-08,20,896,0,2.7755575615628914e-16
3021,2024-11-01,20,842,0,1.7607443281164592e-16
3042,2024-12-02,20,842,0,1.7607443281164592e-16
3064,2025-01-02,20,842,0,1.7607443281164592e-16
3082,2025-02-05,20,842,0,1.7607443281164592e-16
3100,2025-03-03,20,842,0,1.7607443281164592e-16
3121,2025-04-01,20,842,0,1.7607443281164592e-16
3142,2025-05-06,20,842,0,1.7607443281164592e-16
3161,2025-06-03,20,842,0,1.7607443281164592e-16
3181,2025-07-01,20,842,0,1.7607443281164592e-16
3204,2025-08-01,20,842,0,2.454633718507182e-16
3225,2025-09-01,20,842,0,2.454633718507182e-16
3247,2025-10-09,20,842,0,2.454633718507182e-16
3264,2025-11-03,20,842,0,2.2898349882893854e-16
3284,2025-12-01,20,842,0,2.2898349882893854e-16
3307,2026-01-05,20,842,0,2.2898349882893854e-16
3327,2026-02-02,20,842,0,7.112366251504909e-16
3341,2026-03-02,20,795,0,2.0990154059319366e-16
3363,2026-04-01,20,795,0,2.0990154059319366e-16
3384,2026-05-06,20,795,0,2.0990154059319366e-16
3402,2026-06-01,20,795,0,2.0990154059319366e-16
3423,2026-07-01,20,795,0,2.0990154059319366e-16
3446,2026-08-03,20,790,0,3.122502256758253e-16
