period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,260,260,0,22,24,1,355
evaluation,STRESS,251,251,0,22,24,1,355
earlier_diagnostic,BASE,300,96,204,1,9,0,388
earlier_diagnostic,STRESS,300,96,204,1,9,0,388
