period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,supplemented_idle_origins,parent_positive_origins,mean_target
evaluation,IDLE_RSI2_OPPORTUNITY,BASE,1604,976,628,0,540,436,0.5254346322583031
evaluation,IDLE_TREND_RSI2_OPPORTUNITY,BASE,1604,698,906,0,262,436,0.35211792402887665
evaluation,IDLE_RSI2_OPPORTUNITY,STRESS,1604,976,628,0,540,436,0.5254888128503685
evaluation,IDLE_TREND_RSI2_OPPORTUNITY,STRESS,1604,698,906,0,262,436,0.3521721046209422
earlier_diagnostic,IDLE_RSI2_OPPORTUNITY,BASE,1219,784,435,0,338,446,0.5494961438123577
earlier_diagnostic,IDLE_TREND_RSI2_OPPORTUNITY,BASE,1219,635,584,0,189,446,0.4272648066507498
earlier_diagnostic,IDLE_RSI2_OPPORTUNITY,STRESS,1219,789,430,0,337,452,0.5522652430858618
earlier_diagnostic,IDLE_TREND_RSI2_OPPORTUNITY,STRESS,1219,639,580,0,187,452,0.42921356137954514
