period,cost,model,fills,maximum_target_error
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,376,0.0
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,376,0.0
earlier_diagnostic,BASE,IDLE_RSI2_OPPORTUNITY,244,0.0
earlier_diagnostic,STRESS,IDLE_RSI2_OPPORTUNITY,243,0.0
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,280,0.0
evaluation,STRESS,IDLE_TREND_RSI2_OPPORTUNITY,280,0.0
earlier_diagnostic,BASE,IDLE_TREND_RSI2_OPPORTUNITY,176,0.0
earlier_diagnostic,STRESS,IDLE_TREND_RSI2_OPPORTUNITY,175,0.0
