scenario,model,year,days,net_return,pnl_cny,contribution_to_initial_capital,cost_cny,return_minus_M0,return_minus_BUY_HOLD
BASE,BUY_HOLD,2020,243,0.28148844680000007,56297.68935999999,0.28148844679999996,185.1106400000055,-0.02563131259999979,0.0
BASE,BUY_HOLD,2021,243,-0.03909048117061913,-10018.799999999988,-0.050093999999999944,0.0,-0.07179798229479001,0.0
BASE,BUY_HOLD,2022,242,-0.19554254173042263,-48158.0,-0.24079,0.0,0.0727653390432223,0.0
BASE,BUY_HOLD,2023,242,-0.09161073352048248,-18150.0,-0.09075,0.0,0.006381960242316853,0.0
BASE,BUY_HOLD,2024,242,0.15920797025504138,28652.800000000017,0.14326400000000009,0.0,0.026069771375935413,0.0
BASE,BUY_HOLD,2025,243,0.19000526796167636,39639.600000000006,0.19819800000000004,0.0,0.06764309717711481,0.0
BASE,BUY_HOLD,2026,149,0.02009066621512125,4987.774879999983,0.024938874399999915,191.0251200000055,-0.02615787153023776,0.0
BASE,M0,2020,243,0.30711975939999986,61423.95187999998,0.3071197593999999,1048.4481200000444,0.0,0.02563131259999979
BASE,M0,2021,243,0.032707501124170875,8550.524200000073,0.042752621000000365,850.375800000024,0.0,0.07179798229479001
BASE,M0,2022,242,-0.2683078807736449,-72436.27953999999,-0.36218139769999996,729.5795400000088,0.0,-0.0727653390432223
BASE,M0,2023,242,-0.09799269376279933,-19357.300000000017,-0.09678650000000008,7.400000000000091,0.0,-0.006381960242316853
BASE,M0,2024,242,0.13313819887910597,23722.683640000032,0.11861341820000015,517.0163599999665,0.0,-0.026069771375935413
BASE,M0,2025,243,0.12236217078456155,24705.360359999962,0.12352680179999981,513.8396400000223,0.0,-0.06764309717711481
BASE,M0,2026,149,0.04624853774535901,10480.332140000013,0.05240166070000007,578.4678599999954,0.0,0.02615787153023776
BASE,M1,2020,243,0.21786916080000154,43573.83215999996,0.2178691607999998,1015.4678400000437,-0.08925059859999832,-0.06361928599999853
BASE,M1,2021,243,-0.02188418063110591,-5330.413740000076,-0.02665206870000038,1146.613740000032,-0.05459168175527679,0.017206300539513223
BASE,M1,2022,242,-0.25925395039082894,-61765.547379999945,-0.3088277368999997,676.3473800000056,0.009053930382815989,-0.06371140866040631
