date,dividend,overnight_log,intraday_log,total_log,identity_error,M20,D20,RV20
2015-01-05,0.0,0.008358923008855244,0.02303996594825596,0.031398888957111154,4.85722573273506e-17,0.14820310890226188,0.09185785707660045,0.0006660111634523854
2015-01-06,0.0,-0.00625597035573258,-0.0005458515419375992,-0.006801821897670177,-1.734723475976807e-18,0.14739405056319654,0.10984017945833552,0.0006672052698773867
2015-01-07,0.0,-0.004926118336055777,0.004653080791697484,-0.00027303754435833413,4.103705222857634e-17,0.10015532293455998,0.05593517020461723,0.0005786259854820045
2015-01-08,0.0,0.002727026505925032,-0.024815169119724135,-0.022088142613798916,-1.8735013540549517e-16,0.1348882990864581,0.053573640323511584,0.00042160891804197644
2015-01-09,0.0,-0.0027956406242673846,-0.00448934536259444,-0.00728498598686186,3.5561831257524545e-17,0.09213749032647725,0.058148159515998346,0.000382630174960801
2015-01-12,0.0,0.0002811753146599379,-0.00337933298222734,-0.0030981576675673974,-4.7704895589362195e-18,0.09989046997982258,0.03864275350102398,0.0003729590332184025
2015-01-13,0.0,-0.000846620623449112,-0.0011299436230482256,-0.0019765642464973075,-2.992397996059992e-17,0.09480154716740193,0.04581759242243692,0.00037536251565893104
2015-01-14,0.0,0.0019765642464973634,-0.004240289038885416,-0.0022637247923881403,8.760353553682876e-17,0.08110559528467266,0.02816851204671302,0.0003753132228911558
2015-01-15,0.0,0.0,0.027934777331554066,0.027934777331554066,0.0,0.08596008906521668,0.03179374948862085,0.0003865698465996011
2015-01-16,0.0,0.003574869749667225,0.005201928225892212,0.008776797975559513,-7.632783294297951e-17,0.07776966946251081,0.024243862408405675,0.0003789878468085938
2015-01-19,0.0,-0.05414307826470636,-0.05115675594038738,-0.10529983420509374,1.3877787807814457e-17,-0.026348829696751855,0.02959180898365775,0.0009213454308565248
2015-01-20,0.035,0.014757081532966596,0.021296279552962982,0.0360533610859297,-1.249000902703301e-16,-0.004962789342129251,0.02323595045566273,0.000981515528916095
2015-01-21,0.0,0.0035419163356459906,0.041269743411308894,0.04481165974695506,-1.734723475976807e-16,0.046862341584684206,0.06797724871118405,0.0010808580876735397
2015-01-22,0.0,0.0016949156599915041,0.0,0.0016949156599915041,0.0,0.06899938516548168,0.07200769110962409,0.0010515596472455175
2015-01-23,0.0,0.007031388834427955,-0.002244669853823862,0.004786718980604105,-1.214306433183765e-17,0.10201684522127376,0.09096237349656025,0.0009955479934673557
2015-01-26,0.0,0.0056022555486697516,0.0039029879487582175,0.009505243497428111,-1.4224732503009818e-16,0.07583641524951923,0.0658549418241157,0.0009447867509989435
2015-01-27,0.0,0.0022234583923971033,-0.012290657510120923,-0.010067199117723856,3.642919299551295e-17,0.027588853819170867,0.014348464831905144,0.0008860076229121517
2015-01-28,0.0,-0.007617472297393911,-0.008532474973720816,-0.01614994727111472,-6.938893903907228e-18,0.016312070842911953,0.059626901871051706,0.0009000776743190674
