period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,entropy_exit_confirmation_origins,momentum_exit_confirmation_origins,risk_capped_origins,full_target_origins
evaluation,ORDINAL_ENTROPY,BASE,1604,213,1391,0,8,31,36,182,31
evaluation,ORDINAL_ENTROPY,STRESS,1604,213,1391,0,8,31,36,182,31
earlier_diagnostic,ORDINAL_ENTROPY,BASE,1219,158,1061,0,4,36,24,128,30
earlier_diagnostic,ORDINAL_ENTROPY,STRESS,1219,158,1061,0,4,36,24,128,30
