period,cost,all_factor_rows,decision_origins,entropy_max_error,raw_dividend_wealth_reconstructed,independent_permutation_enumeration_and_entropy,full_direction_and_separate_confirmation_counters_equal
evaluation,BASE,3456,1604,0.0,True,True,True
evaluation,STRESS,3456,1604,0.0,True,True,True
earlier_diagnostic,BASE,1852,1219,0.0,True,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,True,True,True
