path,bytes,sha256,storage,assets,reason,captured_mtime_ns,changed_since_inventory
data/raw/510300_forward_eps_csi_originals_v1/AP202505201675976958.html,42161,81c66739071f26d6bc460364660220b79f3ed86b1eed5403cbe9989a4da2377c,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706493059320100,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505201675976958.pdf,717205,e8df49536120606f427a8fc00c67eb8566000fe89776afc362612269f590028c,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706497934817200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505201676059871.html,41779,446f621349fdc4336720aaca1b45409eb23a727beac9d2777fd24eb2189fcd8c,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706493853465600,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505201676059871.pdf,519895,dd0e271a5cdf8daac02cc0066c555641a95a1f3c991b8fe845e47849c9bf65b7,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706496611408700,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505231677617074.html,42887,a149eb6fee8855e9b95f69f45257e94cc6ae80dc9800720f9bca049b12cc4eba,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706493951083200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505231677617074.pdf,1274968,aab39fe01f2c6033627efa5e1c83e5591ebf85f0b8101ea3aa4d8ca7fb4252e7,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706496926767600,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505231677638899.html,43753,f36871e44ea0493eeec2de069fa6abdbd4f3b68d9b898246f40c37e4acf14187,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706498029157000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505231677638899.pdf,915559,5d89e3a5b259862e65bf7f61acc3dbf98aea0f712e7bd50400779fb99cee1323,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706501203810100,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505291681045530.html,41861,68a5e3c7553c1fcd22e09a2ddbbbea085ae10b09bfa3ec3ce7ec5b5d180434f2,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706498472237600,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505291681045530.pdf,2983114,ca980b1a90dc20f2b912f2062def2bf719ad313496acb6ee4edb89e57b03bb39,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706500973905000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505291681045531.html,41849,c456afe9352ca6e0e2f439e643fc9684157a48270a663e9f7104e45828b78fa2,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706499076894900,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505291681045531.pdf,485873,ef792dd0e232782b5230cd5c0f42d67415d9dc9271114a116739583244eb8dc7,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706504359210300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505301681874877.html,42308,43c535dd9629e914a6d62f828873e02c2c947c50653fc1d581718d9ddb0b0fc4,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706503129445200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202505301681874877.pdf,538569,b82aae7e91abad53712ffda1f38ac9d70cfb25e9d0192299f0f52884f3c16271,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706508073680200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202506121689269258.html,41806,3df2bdc96ea9541bd36bae513c63ac52608bb4bb721ed350422b862304075e19,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706502759729300,False
