study_path,files,bytes,report_entry,latest_source_mtime_ns
reports/research/510300_active_risk_budget_v1,50,3059237,,1788813467709022800
reports/research/510300_adaptive_allocation_v1,369,31654497,reports/research/510300_adaptive_allocation_v1/510300条件切换与滚动模型_实际结果.md,1788669260920527600
reports/research/510300_adaptive_regret_experts_preflight_20260909,1,1185,,1788890317284865700
reports/research/510300_adaptive_regret_experts_v1,51,5910936,,1788891987584094800
reports/research/510300_adaptive_speed_trend_v1,53,2925308,,1788775493477764800
reports/research/510300_afternoon_entry_source_feasibility_v1,2,55645,,1788809908084938300
reports/research/510300_afternoon_entry_v1,29,2199901,,1788811226942956700
reports/research/510300_afternoon_entry_v1_output_fix,55,3040555,reports/research/510300_afternoon_entry_v1_output_fix/沿用的每月八项模型中文规则.md,1788811841111744200
reports/research/510300_afternoon_learned_exit_v1,31,1475875,,1788771434690746700
reports/research/510300_aroon_time_entry_v1,43,2231495,,1788860690403426400
reports/research/510300_atr_trend_bands_v1,52,3256479,,1788795951476701600
reports/research/510300_bank_financial_scope_adapter_v1,30,93038,,1788686940342986000
reports/research/510300_bayesian_run_length_preflight_20260909,1,663,,1788885763108680600
reports/research/510300_bayesian_run_length_v1,73,48042044,,1788887334801557200
reports/research/510300_boosted_continuation_exit_v1,58,24108185,,1788865921813941900
reports/research/510300_breadth_learned_entry_gate_v1,9,414575,,1788791782815348200
reports/research/510300_breadth_learned_entry_gate_v1_output_fix,49,2280924,,1788792404853325000
reports/research/510300_breadth_majority_trend_v1,69,3579487,,1788790898546536100
reports/research/510300_breakout_retest_entry_v1,42,2024523,,1788783030134061100
reports/research/510300_broader_equal_blends_v1,58,2901024,,1788775493127189900
reports/research/510300_calendar_learned_equal_blend_v1,47,2859171,,1788784750519528300
reports/research/510300_calendar_liquidity_timing_v1,115,11480794,reports/research/510300_calendar_liquidity_timing_v1/第六轮日历条件_全部实际结果.md,1788677963795747200
reports/research/510300_calendar_monthly_activation_v1,50,3361233,,1788784750903679500
reports/research/510300_cash_distribution_funding_v1,55,3181102,,1788800881951858900
reports/research/510300_choppiness_state_entry_v1,43,3475612,,1788864790794825500
reports/research/510300_climax_learned_equal_blend_v1,47,2411833,,1788779474717060100
reports/research/510300_close_concession_source_feasibility_v1,83,9156003,reports/research/510300_close_concession_source_feasibility_v1/00_README_FIRST.md,1788756594746833600
reports/research/510300_close_location_entry_gate_v1,53,2452313,,1788783030571320500
reports/research/510300_cloud_definition_preflight_20260908,3,325033,,1788881622001973600
reports/research/510300_committed_state_router_v1,40,2121122,,1788768585622446400
reports/research/510300_composite_streak_reversal_v1,46,3440731,,1788814648778106000
reports/research/510300_compression_confirmed_entry_v1,44,1895533,,1788781351867649300
reports/research/510300_conditional_drawdown_budget_preflight_20260909,1,1733,,1788887334772850900
reports/research/510300_conditional_drawdown_budget_v1,45,12587178,,1788888652977658700
reports/research/510300_conditional_score_policy_v1,239,16679939,reports/research/510300_conditional_score_policy_v1/研究报告.md,1788615358600782800
reports/research/510300_conditional_variance_budget_v1,56,3714465,,1788868951596887800
reports/research/510300_consensus_reference_target_v1,43,1970180,,1788931344149503800
reports/research/510300_consistent_entry_exit_v1,32,1424725,,1788764071728930900
reports/research/510300_contextual_expert_tracking_v1,105,10035410,,1788685957148860100
reports/research/510300_contextual_parent_advantage_v1,58,3398595,reports/research/510300_contextual_parent_advantage_v1/earlier_diagnostic_每月三因子中文系数.md,1788845628705966500
reports/research/510300_continuation_strength_blend_preflight_20260909,1,7954,,1788932400489938300
reports/research/510300_continuation_strength_blend_v1,47,2572750,,1788933679990617000
reports/research/510300_continuous_history_boundary_20260908,2,2271,,1788845944116302700
reports/research/510300_continuous_interaction_budget_v1,52,3199134,,1788862819373770200
reports/research/510300_continuous_reference_min_variance_v1,57,3377026,,1788846669626725900
reports/research/510300_continuous_trend_filter_v1,112,3142911,,1788799695484119400
reports/research/510300_covariance_reference_pair_v1,55,3064269,,1788926081297608500
reports/research/510300_csp_v1_static_vs_timing_attribution_v1,51,5841159,reports/research/510300_csp_v1_static_vs_timing_attribution_v1/研究报告.md,1788626452436386400
reports/research/510300_cycle_adverse_risk_v1,47,2885027,,1788848648596533000
reports/research/510300_cycle_analogue_exit_v1,59,35937273,,1788885763118812200
reports/research/510300_cycle_analogue_support_20260909,2,9890,,1788884352035069300
reports/research/510300_cycle_cusum_exit_v1,54,2452588,,1788787917582144000
reports/research/510300_cycle_risk_input_diagnostic_20260908,3,22892,,1788847453215148200
reports/research/510300_cycle_serial_error_exit_v1,59,3856781,,1788942516858752700
reports/research/510300_cycle_serial_error_preflight_20260909,4,157833,,1788940730764779300
reports/research/510300_deleted_cycle_stability_v1,63,11943312,reports/research/510300_deleted_cycle_stability_v1/每月删除周期退出模型中文规则.md,1788807682875505900
reports/research/510300_direct_policy_utility_v1,99,7829426,reports/research/510300_direct_policy_utility_v1/第五轮全部候选_实际结果.md,1788676338471810000
reports/research/510300_directional_continuation_v1,55,2718220,reports/research/510300_directional_continuation_v1/每月方向概率退出模型中文规则.md,1788815325663427800
reports/research/510300_directional_turnover_recovery_v1,44,3224955,,1788861595179842100
reports/research/510300_downside_balance_gate_preflight_20260909,1,4264,,1788922002404353400
reports/research/510300_downside_balance_gate_v1,46,2872828,,1788923060938469200
reports/research/510300_downside_reference_risk_v1,63,4624013,,1788921908572990100
reports/research/510300_dynamic_continuation_exit_v1,62,4451295,reports/research/510300_dynamic_continuation_exit_v1/每月动态退出模型中文规则.md,1788779475116977700
reports/research/510300_ease_of_movement_v1,38,2879011,,1788872594394790100
reports/research/510300_economic_regret_v1,56,3077351,reports/research/510300_economic_regret_v1/每月经济损失退出模型中文规则.md,1788816184240406800
reports/research/510300_eight_round_failure_attribution_20260906,7,80375,reports/research/510300_eight_round_failure_attribution_20260906/八轮失败归因_中文说明.md,1788685323869118300
reports/research/510300_entry_context_coverage_20260908,4,501770,,1788851493141980500
reports/research/510300_entry_context_intercept_preflight_20260908,3,8418,,1788875236006777700
reports/research/510300_entry_context_intercept_v1,58,3870011,,1788875974303359800
reports/research/510300_entry_path_coverage_v1,62,8110152,reports/research/510300_entry_path_coverage_v1/每月模型中文规则.md,1788786708938543200
reports/research/510300_entry_payoff_gate_v1,73,4478047,reports/research/510300_entry_payoff_gate_v1/每月九项进入模型中文规则.md,1788853859637697400
reports/research/510300_entry_vintage_exit_preflight_20260909,1,5903,,1788892864880770800
