period,cost,model,fills,maximum_target_error
evaluation,BASE,SIGNAL_MARKET_RISK_DAILY,68,1.765254609153999e-14
evaluation,STRESS,SIGNAL_MARKET_RISK_DAILY,68,1.765254609153999e-14
earlier_diagnostic,BASE,SIGNAL_MARKET_RISK_DAILY,39,1.709743457922741e-14
earlier_diagnostic,STRESS,SIGNAL_MARKET_RISK_DAILY,39,1.709743457922741e-14
evaluation,BASE,SIGNAL_MARKET_RISK_EPISODE,60,1.709743457922741e-14
evaluation,STRESS,SIGNAL_MARKET_RISK_EPISODE,60,1.709743457922741e-14
earlier_diagnostic,BASE,SIGNAL_MARKET_RISK_EPISODE,32,1.2878587085651816e-14
earlier_diagnostic,STRESS,SIGNAL_MARKET_RISK_EPISODE,32,1.2878587085651816e-14
