period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,positive_signal_episodes,mean_target
evaluation,SIGNAL_MARKET_RISK_DAILY,BASE,1604,436,1168,0,18,30,0.1745959177294021
evaluation,SIGNAL_MARKET_RISK_EPISODE,BASE,1604,436,1168,0,0,30,0.16494107945771735
evaluation,SIGNAL_MARKET_RISK_DAILY,STRESS,1604,436,1168,0,18,30,0.1745959177294021
evaluation,SIGNAL_MARKET_RISK_EPISODE,STRESS,1604,436,1168,0,0,30,0.16494107945771735
earlier_diagnostic,SIGNAL_MARKET_RISK_DAILY,BASE,1219,446,773,0,37,16,0.21270163871138745
earlier_diagnostic,SIGNAL_MARKET_RISK_EPISODE,BASE,1219,446,773,0,108,16,0.2066147587046173
earlier_diagnostic,SIGNAL_MARKET_RISK_DAILY,STRESS,1219,452,767,0,37,16,0.21473190057261335
earlier_diagnostic,SIGNAL_MARKET_RISK_EPISODE,STRESS,1219,452,767,0,108,16,0.20852928370752613
