model,period,cost,decisions,fills
MEAN_REBOUND_AUX_25,evaluation,BASE,1604,153
MEAN_REBOUND_AUX_25,evaluation,STRESS,1604,153
MEAN_REBOUND_AUX_25,earlier_diagnostic,BASE,1219,84
MEAN_REBOUND_AUX_25,earlier_diagnostic,STRESS,1219,85
MEAN_REBOUND_AUX_50,evaluation,BASE,1604,154
MEAN_REBOUND_AUX_50,evaluation,STRESS,1604,154
MEAN_REBOUND_AUX_50,earlier_diagnostic,BASE,1219,83
MEAN_REBOUND_AUX_50,earlier_diagnostic,STRESS,1219,84
