period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,core_idle_auxiliary_positive_origins,both_positive_origins,mean_target
evaluation,MEAN_REBOUND_AUX_25,BASE,1604,597,1007,0,188,161,55,0.21828080778177297
evaluation,MEAN_REBOUND_AUX_50,BASE,1604,597,1007,0,201,161,55,0.24622552969636546
evaluation,MEAN_REBOUND_AUX_25,STRESS,1604,597,1007,0,188,161,55,0.21834108613316724
evaluation,MEAN_REBOUND_AUX_50,STRESS,1604,597,1007,0,201,161,55,0.2462882043273716
earlier_diagnostic,MEAN_REBOUND_AUX_25,BASE,1219,510,709,0,182,64,32,0.2875403985740373
earlier_diagnostic,MEAN_REBOUND_AUX_50,BASE,1219,510,709,0,186,64,32,0.30156860114272743
earlier_diagnostic,MEAN_REBOUND_AUX_25,STRESS,1219,516,703,0,186,64,32,0.2911321467954912
earlier_diagnostic,MEAN_REBOUND_AUX_50,STRESS,1219,516,703,0,190,64,32,0.30515994717892303
