round,period,cost,model,baseline,terminal_equity_difference,price_pnl_difference,dividend_difference,extra_commission_and_slippage
38,evaluation,BASE,RECENCY_RIDGE,REARM_RIDGE,-23258.039980000263,-27631.199999999924,3848.2000000000007,-524.9600199998113
38,evaluation,STRESS,RECENCY_RIDGE,REARM_RIDGE,-22477.704840000224,-27080.49999999994,3644.7000000000007,-958.0951599999607
38,earlier_diagnostic,BASE,RECENCY_RIDGE,REARM_RIDGE,-28476.40618000005,-28542.699999999983,0.0,-66.29381999996576
38,earlier_diagnostic,STRESS,RECENCY_RIDGE,REARM_RIDGE,-28108.801199999987,-28240.199999999983,0.0,-131.39879999999994
39,evaluation,BASE,STATE_ROUTER,REARM_RIDGE,-9640.163560000132,-532.6999999999534,-732.7999999999993,8374.663560000072
39,evaluation,STRESS,STATE_ROUTER,REARM_RIDGE,-18052.097119999962,-2671.0999999999476,-870.3999999999996,14510.597119999966
39,earlier_diagnostic,BASE,STATE_ROUTER,REARM_RIDGE,-5452.792620000022,170.0000000000582,3009.7,8632.49262000015
39,earlier_diagnostic,STRESS,STATE_ROUTER,REARM_RIDGE,-13756.160199999926,-567.6999999999389,2911.8,16100.260200000092
40,evaluation,BASE,COMMITTED_ROUTER,REARM_RIDGE,-39771.51999999999,-30963.999999999956,-1322.3999999999996,7485.120000000063
40,evaluation,BASE,COMMITTED_ROUTER,STATE_ROUTER,-30131.356439999858,-30431.300000000003,-589.6000000000004,-889.5435600000092
40,evaluation,STRESS,COMMITTED_ROUTER,REARM_RIDGE,-46254.46519999995,-31949.699999999953,-1440.7999999999993,12863.965199999908
40,evaluation,STRESS,COMMITTED_ROUTER,STATE_ROUTER,-28202.368079999986,-29278.600000000006,-570.3999999999996,-1646.631920000058
40,earlier_diagnostic,BASE,COMMITTED_ROUTER,REARM_RIDGE,16249.217079999857,20960.10000000002,3284.1000000000004,7994.982920000158
40,earlier_diagnostic,BASE,COMMITTED_ROUTER,STATE_ROUTER,21702.00969999988,20790.099999999962,274.40000000000055,-637.5096999999932
40,earlier_diagnostic,STRESS,COMMITTED_ROUTER,REARM_RIDGE,8406.029200000223,20044.300000000032,3202.4000000000005,14840.670800000044
40,earlier_diagnostic,STRESS,COMMITTED_ROUTER,STATE_ROUTER,22162.18940000015,20611.99999999997,290.60000000000036,-1259.589400000048
