model,period,cost,fills,source_zero_but_holding_origins
INTENT_MIX_80_15_05,evaluation,BASE,145,27
INTENT_MIX_80_15_05,evaluation,STRESS,143,27
INTENT_MIX_80_15_05,earlier_diagnostic,BASE,76,15
INTENT_MIX_80_15_05,earlier_diagnostic,STRESS,77,15
INTENT_MIX_DIAGNOSTIC_WEIGHTS,evaluation,BASE,146,27
INTENT_MIX_DIAGNOSTIC_WEIGHTS,evaluation,STRESS,145,27
INTENT_MIX_DIAGNOSTIC_WEIGHTS,earlier_diagnostic,BASE,76,15
INTENT_MIX_DIAGNOSTIC_WEIGHTS,earlier_diagnostic,STRESS,77,15
