period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,mean_target,source_zero_but_holding_origins
evaluation,INTENT_MIX_80_15_05,BASE,1604,615,989,0,0.19888512905769798,27
evaluation,INTENT_MIX_DIAGNOSTIC_WEIGHTS,BASE,1604,615,989,0,0.20023812087819332,27
evaluation,INTENT_MIX_80_15_05,STRESS,1604,615,989,0,0.19906205407764183,27
evaluation,INTENT_MIX_DIAGNOSTIC_WEIGHTS,STRESS,1604,615,989,0,0.200413154782359,27
earlier_diagnostic,INTENT_MIX_80_15_05,BASE,1219,524,695,0,0.2734814646864234,15
earlier_diagnostic,INTENT_MIX_DIAGNOSTIC_WEIGHTS,BASE,1219,524,695,0,0.274261447628769,15
earlier_diagnostic,INTENT_MIX_80_15_05,STRESS,1219,530,689,0,0.27748954869784054,15
earlier_diagnostic,INTENT_MIX_DIAGNOSTIC_WEIGHTS,STRESS,1219,530,689,0,0.2782704892569207,15
