period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,qualified_origins,unqualified_origins,full_weight_origins,mean_target
evaluation,EPISODE_START_CONFIRMED_AUXILIARY,BASE,1604,429,1175,0,128,1476,36,0.11954493462777553
evaluation,EPISODE_WAIT_CONFIRMED_AUXILIARY,BASE,1604,438,1166,0,137,1467,38,0.12451603513871301
evaluation,EPISODE_START_CONFIRMED_AUXILIARY,STRESS,1604,429,1175,0,128,1476,36,0.11954493462777553
evaluation,EPISODE_WAIT_CONFIRMED_AUXILIARY,STRESS,1604,438,1166,0,137,1467,38,0.12451603513871301
earlier_diagnostic,EPISODE_START_CONFIRMED_AUXILIARY,BASE,1219,446,773,0,192,1027,39,0.2184184336926583
earlier_diagnostic,EPISODE_WAIT_CONFIRMED_AUXILIARY,BASE,1219,446,773,0,192,1027,39,0.2184184336926583
earlier_diagnostic,EPISODE_START_CONFIRMED_AUXILIARY,STRESS,1219,452,767,0,192,1027,39,0.22255192033834284
earlier_diagnostic,EPISODE_WAIT_CONFIRMED_AUXILIARY,STRESS,1219,452,767,0,192,1027,39,0.22255192033834284
