period,cost,model,targets_rebuilt,max_target_error
evaluation,BASE,EPISODE_START_CONFIRMED_AUXILIARY,1604,0.0
evaluation,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,1604,0.0
earlier_diagnostic,BASE,EPISODE_START_CONFIRMED_AUXILIARY,1219,0.0
earlier_diagnostic,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,1219,0.0
evaluation,BASE,EPISODE_WAIT_CONFIRMED_AUXILIARY,1604,0.0
evaluation,STRESS,EPISODE_WAIT_CONFIRMED_AUXILIARY,1604,0.0
earlier_diagnostic,BASE,EPISODE_WAIT_CONFIRMED_AUXILIARY,1219,0.0
earlier_diagnostic,STRESS,EPISODE_WAIT_CONFIRMED_AUXILIARY,1219,0.0
