period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,EPISODE_START_CONFIRMED_AUXILIARY,422,42,46,0,0,0.12133901131733753
evaluation,BASE,EPISODE_WAIT_CONFIRMED_AUXILIARY,431,45,48,0,0,0.12621546199710068
evaluation,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,422,42,46,0,0,0.12138270670350398
evaluation,STRESS,EPISODE_WAIT_CONFIRMED_AUXILIARY,431,45,48,0,0,0.1262463280187063
earlier_diagnostic,BASE,EPISODE_START_CONFIRMED_AUXILIARY,445,34,28,0,0,0.21607535727166452
earlier_diagnostic,BASE,EPISODE_WAIT_CONFIRMED_AUXILIARY,445,34,28,0,0,0.21607535727166452
earlier_diagnostic,STRESS,EPISODE_START_CONFIRMED_AUXILIARY,451,34,28,0,0,0.2197934192132591
earlier_diagnostic,STRESS,EPISODE_WAIT_CONFIRMED_AUXILIARY,451,34,28,0,0,0.2197934192132591
