period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,positive_signal_episodes,protective_exit_triggers,reentries,mean_target
evaluation,RECOVERY_PROTECTED_ACCOUNT_BUDGET,BASE,1604,344,1260,0,30,11,2,0.16371042332533925
evaluation,RECOVERY_PROTECTED_FULL_EXPOSURE,BASE,1604,344,1260,0,30,11,2,0.2144638403990025
evaluation,RECOVERY_PROTECTED_ACCOUNT_BUDGET,STRESS,1604,344,1260,0,30,11,2,0.16378451959707482
evaluation,RECOVERY_PROTECTED_FULL_EXPOSURE,STRESS,1604,344,1260,0,30,11,2,0.2144638403990025
earlier_diagnostic,RECOVERY_PROTECTED_ACCOUNT_BUDGET,BASE,1219,303,916,0,16,8,4,0.19143391507560722
earlier_diagnostic,RECOVERY_PROTECTED_FULL_EXPOSURE,BASE,1219,303,916,0,16,8,4,0.24856439704675964
earlier_diagnostic,RECOVERY_PROTECTED_ACCOUNT_BUDGET,STRESS,1219,309,910,0,16,8,4,0.1949319024190403
earlier_diagnostic,RECOVERY_PROTECTED_FULL_EXPOSURE,STRESS,1219,309,910,0,16,8,4,0.2534864643150123
