period,cost,model,fills,protection_triggers,reentries,maximum_target_error
evaluation,BASE,RECOVERY_PROTECTED_ACCOUNT_BUDGET,107,11,2,0.0
evaluation,STRESS,RECOVERY_PROTECTED_ACCOUNT_BUDGET,107,11,2,0.0
earlier_diagnostic,BASE,RECOVERY_PROTECTED_ACCOUNT_BUDGET,56,8,4,0.0
earlier_diagnostic,STRESS,RECOVERY_PROTECTED_ACCOUNT_BUDGET,57,8,4,0.0
evaluation,BASE,RECOVERY_PROTECTED_FULL_EXPOSURE,64,11,2,0.0
evaluation,STRESS,RECOVERY_PROTECTED_FULL_EXPOSURE,64,11,2,0.0
earlier_diagnostic,BASE,RECOVERY_PROTECTED_FULL_EXPOSURE,40,8,4,0.0
earlier_diagnostic,STRESS,RECOVERY_PROTECTED_FULL_EXPOSURE,40,8,4,0.0
