date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,decision_action,execution_exit_reasons,forecast_age_trading_days,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2024-05-06,3.64,3.648,CLOSE,14.210840000014286,54900,0.0,200289.41084000003,0.0014470542000000197,289.4108400000259,439.2000000000004,0.0,0.0,0.9999290484707084,1.3443468560581096e-11,2024-04-30,False,0.999729,TARGET_100,,0.0,55500,54900,3.64,3.642,39.98916,109.7999999999879,199945.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,14.210840000014286,54900.0
2024-07-01,3.487,3.501,CLOSE,191302.44554000002,0,0.0,191302.44554000002,-0.000773386810776211,-148.06530000001658,0.0,0.0,0.0,0.0,-4.291678123991005e-12,2024-06-28,False,0.9993522564162617,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0,-54900,-54900,3.487,3.485,38.2653,109.80000000001229,191326.5,FILLED,14.210840000014286,54900,191302.44554000002,0.0
2024-08-01,3.502,3.483,CLOSE,646.7220200000156,54400,0.0,190121.92202000003,-0.006170979762792128,-1180.523519999988,-1033.5999999999829,0.0,0.0,0.9965983826950162,7.133849067031406e-12,2024-07-31,False,0.9964200899885683,TARGET_100,,0.0,54400,54400,3.502,3.504,38.123520000000006,108.80000000001218,190617.6,FILLED,191302.44554000002,0,646.7220200000156,54400.0
2024-08-02,3.46,3.447,CLOSE,188724.29898000002,0,0.0,188724.29898000002,-0.007351193513880916,-1397.6230400000059,-1251.200000000007,0.0,0.0,0.0,-1.0743406164692715e-11,2024-08-01,False,0.9959997928110849,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0,-54400,-54400,3.46,3.458,37.62304,108.79999999998802,188115.2,FILLED,646.7220200000156,54400,188724.29898000002,0.0
2024-09-02,3.381,3.332,CLOSE,47624.98476000002,41700,0.0,186569.38476000002,-0.01141831884736988,-2154.914220000006,-2043.2999999999972,0.0,0.0,0.744733119952858,5.258016244624741e-13,2024-08-30,False,0.7474983389126271,TARGET_75,,0.0,41700,41700,3.381,3.383,28.21422,83.40000000000933,141071.1,FILLED,188724.29898000002,0,47624.98476000002,41700.0
2024-09-03,3.33,3.344,CLOSE,186374.82924000002,0,0.0,186374.82924000002,-0.001042805175405781,-194.55551999999443,-83.39999999999081,0.0,0.0,0.0,-1.2803980098397005e-11,2024-09-02,False,0.7441717412630295,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0,-41700,-41700,3.33,3.3280000000000003,27.755520000000004,83.39999999999081,138777.6,FILLED,47624.98476000002,41700,186374.82924000002,0.0
2024-11-01,3.964,3.979,CLOSE,139963.3488,11700,0.0,186517.64880000002,0.0007663028348967593,142.81956000000355,175.50000000000145,0.0,0.0,0.24959729172824527,4.718003765447065e-12,2024-10-31,False,0.2489724615132798,TARGET_25,,0.0,11700,11700,3.964,3.966,9.28044,23.40000000000262,46402.200000000004,FILLED,186374.82924000002,0,139963.3488,11700.0
2024-12-02,3.997,4.031,CLOSE,93565.67112000001,23300,0.0,187487.97112,0.0038170104871093624,712.9223199999833,745.3999999999903,0.0,0.0,0.5009510713617241,-4.416023102749023e-12,2024-11-29,False,0.24842732847393362,TARGET_50,,0.0,11600,11600,3.997,3.999,9.27768,23.200000000002596,46388.4,FILLED,139963.3488,11700,93565.67112000001,23300.0
2025-02-05,3.93,3.887,CLOSE,45978.955680000014,35400,0.0,183578.75568,-0.005525580879067404,-1020.0154400000174,-986.3000000000022,0.0,0.0,0.7495409776055629,-1.7845280808614916e-11,2025-01-27,False,0.2569869798680851,TARGET_75,,0.0,12100,12100,3.93,3.932,9.51544,24.199999999997335,47577.2,FILLED,93565.67112000001,23300,45978.955680000014,35400.0
2025-03-03,3.995,3.981,CLOSE,4.2625800000168965,46900,0.0,186713.16258,-0.0034872450829268598,-653.3931000000157,-621.2000000000149,0.0,0.0,0.9999771704365075,-3.2862601528904634e-12,2025-02-28,False,0.24527758973064734,TARGET_100,,0.0,11500,11500,3.995,3.997,9.193100000000001,22.999999999997467,45965.5,FILLED,45978.955680000014,35400,4.2625800000168965,46900.0
2025-04-01,3.988,3.982,CLOSE,186910.27390000003,0,0.0,186910.27390000003,0.00030190074329272676,56.4113200000138,187.60000000000016,0.0,0.0,0.0,3.311129148642067e-12,2025-03-31,False,0.999475717423039,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0,-46900,-46900,3.988,3.986,37.38868000000001,93.79999999998967,186943.40000000002,FILLED,4.2625800000168965,46900,186910.27390000003,0.0
2025-05-06,3.886,3.903,CLOSE,248.9491000000271,48000,0.0,187592.94910000003,0.0036524220191622714,682.6751999999979,815.9999999999955,0.0,0.0,0.9986729293334616,-8.15703060652595e-12,2025-04-30,False,0.9984683886336115,TARGET_100,,0.0,48300,48000,3.886,3.888,37.3248,95.99999999998943,186624.0,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,186910.27390000003,0,248.9491000000271,48000.0
2025-05-07,3.95,3.927,CLOSE,189715.04830000002,0,0.0,189715.04830000002,0.011312254592622084,2122.099199999997,2256.0000000000073,0.0,0.0,0.0,3.979039320256561e-13,2025-05-06,False,0.9981830339244158,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0,-48000,-48000,3.95,3.948,37.900800000000004,96.00000000001074,189504.0,FILLED,248.9491000000271,48000,189715.04830000002,0.0
2025-07-01,3.98,3.988,CLOSE,47529.21682000003,35700,0.0,189900.81682000004,0.0009791976001094493,185.76852000001236,285.60000000000025,0.0,0.0,0.7497155746041302,2.0094148567295633e-11,2025-06-30,False,0.749320632568924,TARGET_75,,0.0,35700,35700,3.98,3.982,28.43148,71.40000000000799,142157.4,FILLED,189715.04830000002,0,47529.21682000003,35700.0
2025-08-01,4.148,4.133,CLOSE,198.35254000003624,47100,0.0,194862.65254000004,-0.005105945103983545,-1000.0642799999914,-956.4000000000051,0.0,0.0,0.9989820905267656,1.4978240869822912e-11,2025-07-31,False,0.2419135963035819,TARGET_100,,0.0,11400,11400,4.148,4.151,9.464279999999999,34.200000000001296,47321.399999999994,FILLED,47529.21682000003,35700,198.35254000003624,47100.0
2026-02-02,4.68,4.6,CLOSE,367.05254000003697,48300,0.0,222547.05254,-0.02340137700063538,-5332.700000000041,-5324.100000000031,0.0,0.0,0.9983506744492423,-9.322320693172514e-12,2026-01-30,False,0.024819400334550122,TARGET_100,,0.0,1200,1200,4.68,4.683,5.0,3.6000000000001364,5619.599999999999,FILLED,5991.652540000036,47100,367.05254000003697,48300.0
2026-03-23,4.528,4.43,CLOSE,218880.84104000006,0,0.0,218880.84104000006,-0.011324069822426286,-2507.011499999964,-2318.400000000002,0.0,0.0,0.0,3.694822225952521e-13,2026-03-20,False,0.9976630582946907,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,15.0,-48300,-48300,4.528,4.525,43.71150000000001,144.8999999999626,218557.50000000003,FILLED,367.05254000003697,48300,218880.84104000006,0.0
2026-04-01,4.52,4.534,CLOSE,376.2488600000506,48300,0.0,219368.44886000003,0.002227731845707126,487.6078199999756,676.2000000000113,0.0,0.0,0.998284854262519,-3.0183855415089056e-11,2026-03-31,False,0.9980814170943206,TARGET_100,,0.0,49000,48300,4.52,4.523,43.69218,144.9000000000055,218460.9,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,218880.84104000006,0,376.2488600000506,48300.0
2026-04-02,4.521,4.489,CLOSE,218552.00498000006,0,0.0,218552.00498000006,-0.0037217926472234986,-816.4438799999771,-627.8999999999952,0.0,0.0,0.0,2.361844053666573e-11,2026-04-01,False,0.9976175022751105,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0,-48300,-48300,4.521,4.518,43.64388,144.9000000000055,218219.4,FILLED,376.2488600000506,48300,218552.00498000006,0.0
2026-05-06,4.866,4.888,CLOSE,377.1787400000612,44800,0.0,219359.57874000006,0.003695110278553182,807.5737599999993,985.6000000000108,0.0,0.0,0.998280545840913,-6.423306331271306e-12,2026-04-30,False,0.9980745773527057,TARGET_100,,0.0,45200,44800,4.866,4.869,43.626239999999996,134.4000000000051,218131.19999999998,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,218552.00498000006,0,377.1787400000612,44800.0
2026-07-20,4.63,4.65,CLOSE,207625.32082000005,0,0.0,207625.32082000005,0.008064220085826967,1660.942079999979,1836.7999999999768,0.0,0.0,0.0,7.219114195322618e-12,2026-07-17,False,0.9975381335991353,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,13.0,-44800,-44800,4.63,4.627,41.457919999999994,134.4000000000051,207289.59999999998,FILLED,377.1787400000612,44800,207625.32082000005,0.0
2026-08-03,4.624,4.599,CLOSE,1682.6405200000445,44500,0.0,206338.14052000004,-0.006199534309767163,-1287.1803000000073,-1112.4999999999764,0.0,0.0,0.9918452278587004,-2.5863755581667647e-11,2026-07-31,False,0.9916974441595469,TARGET_100,,0.0,44500,44500,4.624,4.627,41.1803,133.50000000000506,205901.5,FILLED,207625.32082000005,0,1682.6405200000445,44500.0
2026-08-04,4.618,4.651,CLOSE,207009.06702000005,0,0.0,207009.06702000005,0.003251587410399104,670.9265000000014,845.5000000000057,0.0,0.0,0.0,7.673861546209082e-13,2026-08-03,False,0.9912341509424113,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0,-44500,-44500,4.618,4.615,41.0735,133.50000000000506,205367.5,FILLED,1682.6405200000445,44500,207009.06702000005,0.0
