period,cost,year,return_difference_vs128
evaluation,BASE,2020,-0.0730472134
evaluation,BASE,2021,-0.009061976718671254
evaluation,BASE,2022,-0.005906076792839391
evaluation,BASE,2023,0.0
evaluation,BASE,2024,-0.11869168456108053
evaluation,BASE,2025,0.005703715010080587
evaluation,BASE,2026,-0.12254531530247954
evaluation,STRESS,2020,-0.0727474523999999
evaluation,STRESS,2021,-0.010095541710781784
evaluation,STRESS,2022,-0.0058493395327403296
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,-0.1179891590481968
evaluation,STRESS,2025,0.0034778462005570915
evaluation,STRESS,2026,-0.12365467048641894
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,-0.02986475947883828
earlier_diagnostic,BASE,2018,-1.5379126433887058e-05
earlier_diagnostic,BASE,2019,-0.011233090134908585
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,-0.029833562541451544
earlier_diagnostic,STRESS,2018,5.38280014888981e-06
earlier_diagnostic,STRESS,2019,-0.0382802373711177
