period,cost,days,cycles,net_sharpe,net_profit
evaluation,BASE,1604,24,0.3117056337422297,28487.21069999991
evaluation,STRESS,1604,24,0.2434236116821457,21083.242080000055
earlier_diagnostic,BASE,1219,9,0.7088326352619227,93833.75334
earlier_diagnostic,STRESS,1219,9,0.6852293544442823,89725.85175999999
