fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_score_orthogonality_error,nonzero_factor_count
1687,2019-05-06,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
1707,2019-06-03,6066f14a3dd6aef7dadf4e24b04d6dce8f6ba69c6338c173442c122c409b28ec,1707,False,1.5154985899664455e-18,7
1726,2019-07-01,6066f14a3dd6aef7dadf4e24b04d6dce8f6ba69c6338c173442c122c409b28ec,1707,True,1.5154985899664455e-18,7
1749,2019-08-01,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,False,5.272792942286356e-18,7
1771,2019-09-02,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1791,2019-10-08,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1809,2019-11-01,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1830,2019-12-02,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1852,2020-01-02,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1868,2020-02-03,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1888,2020-03-02,bb903e074846b0ee08d020e4f9f53d8f84b329bb7535a05a635b926421e83110,1749,True,5.272792942286356e-18,7
1910,2020-04-01,cffcefedf6d9a984653189b1fdc1d2e8bf7d3a94369ec2e75e765e1533c44a10,1910,False,1.904507995058647e-18,7
1931,2020-05-06,cffcefedf6d9a984653189b1fdc1d2e8bf7d3a94369ec2e75e765e1533c44a10,1910,True,1.904507995058647e-18,7
1949,2020-06-01,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949,False,3.541198688005906e-18,7
1969,2020-07-01,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949,True,3.541198688005906e-18,7
1992,2020-08-03,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949,True,3.541198688005906e-18,7
2013,2020-09-01,cc4109799b9dd3293153c2f8b0b99b3c3ffc1df22db461022e40547ac6ee416e,1949,True,3.541198688005906e-18,7
2035,2020-10-09,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035,False,1.155057620032572e-17,7
2051,2020-11-02,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035,True,1.155057620032572e-17,7
2072,2020-12-01,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035,True,1.155057620032572e-17,7
2095,2021-01-04,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035,True,1.155057620032572e-17,7
2115,2021-02-01,699087d2ae38b82c212683dae07fce54ad57407dcb17a1727a418dee19c8207b,2035,True,1.155057620032572e-17,7
2130,2021-03-01,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130,False,1.024777517279695e-18,7
2153,2021-04-01,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130,True,1.024777517279695e-18,7
2174,2021-05-06,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130,True,1.024777517279695e-18,7
2192,2021-06-01,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130,True,1.024777517279695e-18,7
2213,2021-07-01,f6090ea032fd7753a398ad60583e05f87a9e4f883e2304a5f19414c0ac3c1c4e,2130,True,1.024777517279695e-18,7
2235,2021-08-02,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,False,8.45772754134688e-18,7
2257,2021-09-01,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,True,8.45772754134688e-18,7
2277,2021-10-08,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,True,8.45772754134688e-18,7
2293,2021-11-01,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,True,8.45772754134688e-18,7
2315,2021-12-01,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,True,8.45772754134688e-18,7
2338,2022-01-04,4fec7595b0b5cf07e2f1b53b88b08c67897ee90f5b30195b69ad0856c6e8ce61,2235,True,8.45772754134688e-18,7
2357,2022-02-07,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,False,5.5676492021202836e-18,7
2373,2022-03-01,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2396,2022-04-01,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2415,2022-05-05,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2434,2022-06-01,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2455,2022-07-01,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2476,2022-08-01,a80b4e3f79433c84799b70a8ed05807e3ec14e3732e13f5ed7d8b6876bb259dd,2357,True,5.5676492021202836e-18,7
2499,2022-09-01,3dbd715fff6102857396780dfdd3ea8c800b77700e68ca1fde9cab4fabf9f84d,2499,False,9.922866899992246e-19,7
2520,2022-10-10,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,False,5.273992329845716e-19,7
2536,2022-11-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2558,2022-12-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2580,2023-01-03,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2596,2023-02-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2616,2023-03-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2639,2023-04-03,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2658,2023-05-04,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2678,2023-06-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2698,2023-07-03,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2719,2023-08-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2742,2023-09-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2762,2023-10-09,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2779,2023-11-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2801,2023-12-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2822,2024-01-02,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2844,2024-02-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2859,2024-03-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2880,2024-04-01,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2900,2024-05-06,1561b73b3f4f2378962ce0fc8bba2746d3016507b71ca1ae705dd872b832947b,2520,True,5.273992329845716e-19,7
2920,2024-06-03,72e1d548c4d4c585fbf7c9244b53604fefb31a35688ca9f8e0c9dc557c67a59c,2920,False,1.0008223667401593e-20,7
2939,2024-07-01,72e1d548c4d4c585fbf7c9244b53604fefb31a35688ca9f8e0c9dc557c67a59c,2920,True,1.0008223667401593e-20,7
2962,2024-08-01,80dff91cafd5cb1dbb0c6f9a0c749fce7ef22fb97dcda78453bd65c79a321a7e,2962,False,4.541863703225647e-18,7
2984,2024-09-02,80dff91cafd5cb1dbb0c6f9a0c749fce7ef22fb97dcda78453bd65c79a321a7e,2962,True,4.541863703225647e-18,7
3003,2024-10-08,5b37e0afd65fe487a97bdef9f991a9d47d52b270623e4fbd6bc3e0b8d6183620,3003,False,1.6721154989016486e-18,7
3021,2024-11-01,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,False,6.0313675840957e-18,7
3042,2024-12-02,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3064,2025-01-02,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3082,2025-02-05,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3100,2025-03-03,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3121,2025-04-01,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3142,2025-05-06,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3161,2025-06-03,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3181,2025-07-01,3c5fe76edbbcafee462603c489f39258d14e1c5e2e297a475a46e1858b6735bc,3021,True,6.0313675840957e-18,7
3204,2025-08-01,622edf39f391d33ce9d76b6ab061e703943cd4926f250d0792efbedb7a42cc88,3204,False,5.835373424523915e-18,7
3225,2025-09-01,622edf39f391d33ce9d76b6ab061e703943cd4926f250d0792efbedb7a42cc88,3204,True,5.835373424523915e-18,7
3247,2025-10-09,622edf39f391d33ce9d76b6ab061e703943cd4926f250d0792efbedb7a42cc88,3204,True,5.835373424523915e-18,7
3264,2025-11-03,6d916a68122ef19d03b88ca4a9384205f1158d66ad788e8cd20251e4571fb309,3264,False,1.2246356029288372e-18,7
3284,2025-12-01,6d916a68122ef19d03b88ca4a9384205f1158d66ad788e8cd20251e4571fb309,3264,True,1.2246356029288372e-18,7
3307,2026-01-05,6d916a68122ef19d03b88ca4a9384205f1158d66ad788e8cd20251e4571fb309,3264,True,1.2246356029288372e-18,7
3327,2026-02-02,f9f8919e963329786d33ef994986fb30985b9c8427cf2be6e268bfcd0f5aecdd,3327,False,7.335985803353158e-18,7
3341,2026-03-02,a391a48e1806a90d46de617d64b5f2fd7485c6b73399a1375c36e2894d16b99c,3341,False,1.7836978621958666e-18,7
3363,2026-04-01,a391a48e1806a90d46de617d64b5f2fd7485c6b73399a1375c36e2894d16b99c,3341,True,1.7836978621958666e-18,7
3384,2026-05-06,a391a48e1806a90d46de617d64b5f2fd7485c6b73399a1375c36e2894d16b99c,3341,True,1.7836978621958666e-18,7
3402,2026-06-01,a391a48e1806a90d46de617d64b5f2fd7485c6b73399a1375c36e2894d16b99c,3341,True,1.7836978621958666e-18,7
3423,2026-07-01,a391a48e1806a90d46de617d64b5f2fd7485c6b73399a1375c36e2894d16b99c,3341,True,1.7836978621958666e-18,7
3446,2026-08-03,76a2dedbc357b1f6a7372f144d158e311da649bf113fbdf90d942f844cf2e94c,3446,False,6.845910862122388e-18,7
