fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_score_orthogonality_error,nonzero_factor_count
1157,2017-03-01,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157,False,1.3156629250478066e-17,7
1180,2017-04-05,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157,True,1.3156629250478066e-17,7
1198,2017-05-02,1cb31bffc24bd537dd1692d791af7135ba11c06537785ff28b56573ecb5c1138,1157,True,1.3156629250478066e-17,7
1218,2017-06-01,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218,False,1.8569514431995176e-17,7
1240,2017-07-03,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218,True,1.8569514431995176e-17,7
1261,2017-08-01,0fd5293d35dbb53ce038c5373044fe8c6c3f75357a726504938b2122deb93132,1218,True,1.8569514431995176e-17,7
1284,2017-09-01,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284,False,1.6593339592218534e-18,7
1305,2017-10-09,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284,True,1.6593339592218534e-18,7
1322,2017-11-01,a8a5327f8ac0cc8e4d04d27c4b06f057c1b3bf4b9f53a0e65f3b53d19c360db2,1284,True,1.6593339592218534e-18,7
1344,2017-12-01,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344,False,1.1781573932813511e-17,7
1365,2018-01-02,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344,True,1.1781573932813511e-17,7
1387,2018-02-01,857e3e71a6963e7c4620c7e1fcbb7110e281aa7fc6c8e4b6591b29f432f33a44,1344,True,1.1781573932813511e-17,7
1402,2018-03-01,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,False,2.1679671209329452e-19,7
1424,2018-04-02,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1442,2018-05-02,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1464,2018-06-01,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1484,2018-07-02,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1506,2018-08-01,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1529,2018-09-03,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1548,2018-10-08,22831d5d93a1b44e69765f86e60c981c66aa164acfbd7f3996afd02c72e93481,1402,True,2.1679671209329452e-19,7
1566,2018-11-01,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,False,8.37570850285456e-18,7
1588,2018-12-03,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
1608,2019-01-02,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
1630,2019-02-01,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
1645,2019-03-01,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
1666,2019-04-01,be2cfb11e996e6584cf536c4ccde4f5b8e25f0796c97e9ccbc15e4428d3445bc,1566,True,8.37570850285456e-18,7
