period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests
evaluation,BASE,309,309,0,17,24,0
evaluation,STRESS,309,309,0,17,24,0
earlier_diagnostic,BASE,255,51,204,3,9,0
earlier_diagnostic,STRESS,255,51,204,3,9,0
