period,cost,cycle_id,entry_date,selected_model_date,prediction_identity,states
evaluation,BASE,1.0,2020-02-05,2020-02-03,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,13
evaluation,BASE,2.0,2020-07-01,2020-07-01,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,3
evaluation,BASE,3.0,2020-08-19,2020-08-03,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,30
evaluation,BASE,4.0,2021-01-05,2021-01-04,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,4
evaluation,BASE,5.0,2021-02-03,2021-02-01,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7
evaluation,BASE,6.0,2021-06-08,2021-06-01,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,35
evaluation,BASE,7.0,2021-10-29,2021-10-08,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,20
evaluation,BASE,8.0,2021-12-01,2021-12-01,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7
evaluation,BASE,9.0,2022-05-13,2022-05-05,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,16
evaluation,BASE,10.0,2022-08-10,2022-08-01,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,21
evaluation,BASE,11.0,2024-02-19,2024-02-01,247463c6810a0966f2d22edc4ee15d09b13542d26de238858e9ff5b187e0f348,2
evaluation,BASE,12.0,2024-06-18,2024-06-03,625b93d35dca08f77912c0b18fbaa6660c3a430dd03bfedbe2177cbcb884d673,19
evaluation,BASE,13.0,2024-08-02,2024-08-01,17174e6176ac0cffb4ed3495eb6917b048205305f4992b5c3694e2cfab0e44ef,29
evaluation,BASE,14.0,2024-09-25,2024-09-02,17174e6176ac0cffb4ed3495eb6917b048205305f4992b5c3694e2cfab0e44ef,2
evaluation,BASE,15.0,2025-04-10,2025-04-01,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,17
evaluation,BASE,16.0,2025-06-03,2025-06-03,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,8
evaluation,BASE,17.0,2025-06-18,2025-06-03,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,6
evaluation,BASE,18.0,2025-12-19,2025-12-01,85dfa7fbdbfa82f991a7b59acaf9069e0bfa0e0841bc3c83a0e5b2eb18fc18da,6
evaluation,BASE,19.0,2026-01-16,2026-01-05,85dfa7fbdbfa82f991a7b59acaf9069e0bfa0e0841bc3c83a0e5b2eb18fc18da,13
evaluation,BASE,20.0,2026-05-06,2026-05-06,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,2
evaluation,BASE,21.0,2026-05-13,2026-05-06,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,10
evaluation,BASE,22.0,2026-06-05,2026-06-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,8
evaluation,BASE,23.0,2026-06-23,2026-06-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,15
evaluation,BASE,24.0,2026-07-23,2026-07-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,16
evaluation,STRESS,1.0,2020-02-05,2020-02-03,230798b505172513f4ccdb3e81b6b13e8452bffd09fbd2470d642a3b4c496f5d,13
evaluation,STRESS,2.0,2020-07-01,2020-07-01,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,3
evaluation,STRESS,3.0,2020-08-19,2020-08-03,f2f9fbb867e7bec07f85510f9d8746fbcd3adb8f721906083cb28b29e2eeb6cd,30
evaluation,STRESS,4.0,2021-01-05,2021-01-04,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,4
evaluation,STRESS,5.0,2021-02-03,2021-02-01,a130be966158b1ac632116e15bfc882a2ea1c96089c090bffec2cb3855afd53c,7
evaluation,STRESS,6.0,2021-06-08,2021-06-01,84d9682b5f5fca5d18c3a987c3a84db9f6ac4a5a7b19fc1c28a7a67daea1b868,35
evaluation,STRESS,7.0,2021-10-29,2021-10-08,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,20
evaluation,STRESS,8.0,2021-12-01,2021-12-01,dd8eb00df7a21ff614c1bdb8ace63ae57308a31ec66bf538b95df89bc2868477,7
evaluation,STRESS,9.0,2022-05-13,2022-05-05,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,16
evaluation,STRESS,10.0,2022-08-10,2022-08-01,59eaf3d94820b93e7b06c3ace239804bf5b4363d678908876aea68cbd584344a,21
evaluation,STRESS,11.0,2024-02-19,2024-02-01,247463c6810a0966f2d22edc4ee15d09b13542d26de238858e9ff5b187e0f348,2
evaluation,STRESS,12.0,2024-06-18,2024-06-03,625b93d35dca08f77912c0b18fbaa6660c3a430dd03bfedbe2177cbcb884d673,19
evaluation,STRESS,13.0,2024-08-02,2024-08-01,17174e6176ac0cffb4ed3495eb6917b048205305f4992b5c3694e2cfab0e44ef,29
evaluation,STRESS,14.0,2024-09-25,2024-09-02,17174e6176ac0cffb4ed3495eb6917b048205305f4992b5c3694e2cfab0e44ef,2
evaluation,STRESS,15.0,2025-04-10,2025-04-01,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,17
evaluation,STRESS,16.0,2025-06-03,2025-06-03,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,8
evaluation,STRESS,17.0,2025-06-18,2025-06-03,e9df85fa0e10b345d9e4db18a65d866a7f353012b1a9e32ba877f71cc3b12000,6
evaluation,STRESS,18.0,2025-12-19,2025-12-01,85dfa7fbdbfa82f991a7b59acaf9069e0bfa0e0841bc3c83a0e5b2eb18fc18da,6
evaluation,STRESS,19.0,2026-01-16,2026-01-05,85dfa7fbdbfa82f991a7b59acaf9069e0bfa0e0841bc3c83a0e5b2eb18fc18da,13
evaluation,STRESS,20.0,2026-05-06,2026-05-06,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,2
evaluation,STRESS,21.0,2026-05-13,2026-05-06,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,10
evaluation,STRESS,22.0,2026-06-05,2026-06-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,8
evaluation,STRESS,23.0,2026-06-23,2026-06-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,15
evaluation,STRESS,24.0,2026-07-23,2026-07-01,adba462d0ce94cbb2990cc467eacaf38603dd75e8ee957346e86ec5a06e94d7c,16
earlier_diagnostic,BASE,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,BASE,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,BASE,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,BASE,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,BASE,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,BASE,6.0,2017-05-18,2017-05-02,3b36e614b07274eb7a2a6894a0b9b3c9593063eff4e8551ed3a482d25c465109,26
earlier_diagnostic,BASE,7.0,2018-10-09,2018-10-08,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,8
earlier_diagnostic,BASE,8.0,2019-02-28,2019-02-01,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,2
earlier_diagnostic,BASE,9.0,2019-05-31,2019-05-06,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,15
earlier_diagnostic,STRESS,1.0,2015-01-05,2015-01-05,NO_MODEL,11
earlier_diagnostic,STRESS,2.0,2015-02-11,2015-02-02,NO_MODEL,60
earlier_diagnostic,STRESS,3.0,2015-06-03,2015-06-01,NO_MODEL,13
earlier_diagnostic,STRESS,4.0,2015-09-29,2015-09-01,NO_MODEL,60
earlier_diagnostic,STRESS,5.0,2016-05-03,2016-05-03,NO_MODEL,60
earlier_diagnostic,STRESS,6.0,2017-05-18,2017-05-02,3b36e614b07274eb7a2a6894a0b9b3c9593063eff4e8551ed3a482d25c465109,26
earlier_diagnostic,STRESS,7.0,2018-10-09,2018-10-08,b56ada769559ca5d72c648c29d28ea0571bee6296b30533835c1932372d286f2,8
earlier_diagnostic,STRESS,8.0,2019-02-28,2019-02-01,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,2
earlier_diagnostic,STRESS,9.0,2019-05-31,2019-05-06,b060bccd3c2af6e6fcf6dbc0334d2ef1609dd465c02d5332fb1d5975cb5ac96f,15
