period,cost,comparison,terminal_nav_difference,sharpe_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,ENTRY_VINTAGE_EXIT,-84066.06636000026,-0.5721719586134293,-75671.19999999994,-8017.8,108.66636000000017,268.40000000015516
evaluation,BASE,VINTAGE_REFERENCE_RISK,-26785.78982000018,-0.4339199253334194,-18835.699999999928,-4390.999999999999,903.28982,2655.8000000001266
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-37914.86194000018,-0.9792860545727802,-36555.2999999999,3672.4999999999995,1256.56194,3775.5000000001655
evaluation,BASE,BUY_HOLD,-24763.8535400001,0.023806243087036272,1278.9000000000706,-17405.300000000003,2175.45354,6462.000000000107
evaluation,STRESS,ENTRY_VINTAGE_EXIT,-82884.04224000004,-0.5880576388022836,-74301.49999999994,-7873.5,206.54223999999977,502.5000000000218
evaluation,STRESS,VINTAGE_REFERENCE_RISK,-29171.514560000127,-0.44366926447643845,-18318.99999999995,-4397.9,1757.8145599999998,4696.800000000036
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-41666.59211999987,-0.988425162830779,-36035.99999999992,3521.3999999999996,2478.3921199999995,6673.600000000069
evaluation,STRESS,BUY_HOLD,-31888.486399999965,-0.043484818628081956,1514.200000000048,-17577.5,4273.9864,11551.200000000103
earlier_diagnostic,BASE,ENTRY_VINTAGE_EXIT,-11233.424079999852,-0.05720679137282436,-11275.800000000017,0.0,-12.775919999999928,-29.60000000003356
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,31596.438840000075,-0.3365669175224786,31980.300000000003,1295.0,428.16116000000005,1250.6999999999623
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,35019.280480000016,-0.31329004458066145,35158.4,1295.0,367.31952,1066.7999999999427
earlier_diagnostic,BASE,BUY_HOLD,51371.559099999984,0.4301106491093707,69716.89999999998,-15124.199999999997,829.1409000000001,2391.9999999999754
earlier_diagnostic,STRESS,ENTRY_VINTAGE_EXIT,-18530.796840000083,-0.09451890436898724,-18616.300000000003,0.0,-27.903159999999843,-57.599999999998545
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,25791.79423999996,-0.37540283310797695,27752.600000000006,1295.0,847.4057600000001,2408.400000000015
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,28365.990760000015,-0.35856054838859286,29880.9,1295.0,726.30924,2083.599999999997
earlier_diagnostic,STRESS,BUY_HOLD,47570.263279999985,0.40752158026355784,69035.7,-15124.199999999997,1644.53672,4696.700000000011
