period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,held_closes,mean_held_closes,original_cycles,original_held_closes,matched_entry_origins,only_new_entry_origins,only_original_entry_origins
evaluation,BASE,21,10,11,44847.78448000002,37483.00000000006,14941.699999999999,1878.31552,5698.600000000043,343,16.333333333333332,24,252,19,2,5
evaluation,STRESS,21,9,12,34187.89971999998,33376.50000000006,14478.9,3665.10028,10002.400000000085,342,16.285714285714285,24,252,19,2,5
earlier_diagnostic,BASE,9,6,3,95692.52198000005,97338.1,1939.0000000000002,914.7780200000001,2669.7999999999693,304,33.77777777777778,9,299,9,0,0
earlier_diagnostic,STRESS,9,6,3,91549.59643999995,96622.19999999995,1939.0000000000002,1815.50356,5196.100000000004,304,33.77777777777778,9,299,9,0,0
