period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,-38285.79122000016,-46177.399999999914,5904.100000000002,-499.40878,-1488.0999999997457,7.048583938740194e-12
evaluation,BASE,REARM_NONE,-5177.207739999954,-2279.9000000000524,-445.09999999999854,628.0077399999998,1824.1999999999503,4.661160346586257e-11
evaluation,BASE,PANIC_LEARNED_HALF,-14731.766800000012,-22920.599999999933,10645.7,602.4667999999999,1854.4000000001288,4.888534022029489e-11
evaluation,BASE,BUY_HOLD,-8403.279759999888,7620.200000000048,-8822.7,1792.5797599999999,5408.200000000032,9.549694368615746e-11
evaluation,STRESS,REARM_RIDGE,-39642.75100000008,-49071.49999999988,5605.300000000001,-1007.2489999999998,-2816.19999999995,-1.4370016288012266e-10
evaluation,STRESS,REARM_NONE,-11045.08839999992,-6013.600000000006,-701.9999999999982,1189.4884000000002,3139.9999999999845,6.821210263296962e-11
evaluation,STRESS,PANIC_LEARNED_HALF,-20585.326759999967,-26612.599999999904,10225.3,1137.1267600000006,3060.9000000000615,-4.547473508864641e-13
evaluation,STRESS,BUY_HOLD,-18783.828759999946,3513.7000000000844,-9285.500000000002,3493.6287600000005,9518.400000000096,6.912159733474255e-11
earlier_diagnostic,BASE,REARM_RIDGE,-7870.369399999967,-7902.0,0.0,-9.630599999999959,-22.0,3.319655661471188e-11
earlier_diagnostic,BASE,REARM_NONE,3951.751600000018,3957.9999999999854,0.0,2.248399999999947,3.999999999967258,-4.547473508864641e-13
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,49759.769440000004,49453.80000000002,962.5000000000001,188.33056,468.20000000000255,-1.1368683772161603e-11
earlier_diagnostic,BASE,BUY_HOLD,53230.32774000001,71577.09999999999,-15124.199999999997,829.77226,2392.799999999975,-1.1368683772161603e-11
earlier_diagnostic,STRESS,REARM_RIDGE,-7773.964720000105,-7837.199999999997,0.0,-19.235279999999875,-44.0,-1.0822986951097846e-10
earlier_diagnostic,STRESS,REARM_NONE,3900.5212000000174,3912.9999999999854,0.0,4.478800000000092,8.0,3.205968823749572e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,48495.87455999997,48950.70000000001,962.5000000000001,370.62544,1046.7000000000044,-3.979039320256561e-11
earlier_diagnostic,STRESS,BUY_HOLD,49394.00795999993,70861.19999999998,-15124.199999999997,1645.49204,4697.50000000001,-4.547473508864641e-11
