fit_index,fit_origin,fit_time,status,eligible_for_fit,training_cycle_count,training_rows,latest_exit_index,latest_exit_date,failure,deletion_fits_attempted,deletion_fits_completed
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,1,59,588,2014-10-30,,0,0
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,1,59,588,2014-10-30,,0,0
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,2,111,644,2015-01-20,,0,0
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,3,117,654,2015-02-03,,0,0
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,3,117,654,2015-02-03,,0,0
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,3,117,654,2015-02-03,,0,0
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,4,176,717,2015-05-12,,0,0
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,5,201,746,2015-06-23,,0,0
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,6,260,874,2015-12-29,,0,0
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,7,261,883,2016-01-12,,0,0
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,8,320,1016,2016-07-28,,0,0
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,8,320,1016,2016-07-28,,0,0
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,8,320,1016,2016-07-28,,0,0
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,8,320,1016,2016-07-28,,0,0
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,9,379,1079,2016-11-03,,0,0
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,9,379,1079,2016-11-03,,0,0
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,False,9,379,1079,2016-11-03,,0,0
1157,2017-03-01,2017-03-01 15:05:00,FIT_COMPLETE,True,10,438,1142,2017-02-08,,10,10
1180,2017-04-05,2017-04-05 15:05:00,FIT_COMPLETE,True,10,438,1142,2017-02-08,,10,10
1198,2017-05-02,2017-05-02 15:05:00,FIT_COMPLETE,True,10,438,1142,2017-02-08,,10,10
1218,2017-06-01,2017-06-01 15:05:00,FIT_COMPLETE,True,11,497,1205,2017-05-11,,11,11
1240,2017-07-03,2017-07-03 15:05:00,FIT_COMPLETE,True,11,497,1205,2017-05-11,,11,11
1261,2017-08-01,2017-08-01 15:05:00,FIT_COMPLETE,True,11,497,1205,2017-05-11,,11,11
1284,2017-09-01,2017-09-01 15:05:00,FIT_COMPLETE,True,12,556,1270,2017-08-14,,12,12
1305,2017-10-09,2017-10-09 15:05:00,FIT_COMPLETE,True,12,556,1270,2017-08-14,,12,12
1322,2017-11-01,2017-11-01 15:05:00,FIT_COMPLETE,True,12,556,1270,2017-08-14,,12,12
1344,2017-12-01,2017-12-01 15:05:00,FIT_COMPLETE,True,13,615,1333,2017-11-16,,13,13
1365,2018-01-02,2018-01-02 15:05:00,FIT_COMPLETE,True,13,615,1333,2017-11-16,,13,13
1387,2018-02-01,2018-02-01 15:05:00,FIT_COMPLETE,True,13,615,1333,2017-11-16,,13,13
1402,2018-03-01,2018-03-01 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1424,2018-04-02,2018-04-02 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1442,2018-05-02,2018-05-02 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1464,2018-06-01,2018-06-01 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1484,2018-07-02,2018-07-02 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1506,2018-08-01,2018-08-01 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1529,2018-09-03,2018-09-03 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1548,2018-10-08,2018-10-08 15:05:00,FIT_COMPLETE,True,14,671,1393,2018-02-09,,14,14
1566,2018-11-01,2018-11-01 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1588,2018-12-03,2018-12-03 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1608,2019-01-02,2019-01-02 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1630,2019-02-01,2019-02-01 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1645,2019-03-01,2019-03-01 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1666,2019-04-01,2019-04-01 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1687,2019-05-06,2019-05-06 15:05:00,FIT_COMPLETE,True,15,678,1557,2018-10-19,,15,15
1707,2019-06-03,2019-06-03 15:05:00,FIT_COMPLETE,True,16,721,1688,2019-05-07,,16,16
1726,2019-07-01,2019-07-01 15:05:00,FIT_COMPLETE,True,16,721,1688,2019-05-07,,16,16
1749,2019-08-01,2019-08-01 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1771,2019-09-02,2019-09-02 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1791,2019-10-08,2019-10-08 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1809,2019-11-01,2019-11-01 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1830,2019-12-02,2019-12-02 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1852,2020-01-02,2020-01-02 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1868,2020-02-03,2020-02-03 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1888,2020-03-02,2020-03-02 15:05:00,FIT_COMPLETE,True,17,759,1730,2019-07-05,,17,17
1910,2020-04-01,2020-04-01 15:05:00,FIT_COMPLETE,True,18,787,1899,2020-03-17,,18,18
1931,2020-05-06,2020-05-06 15:05:00,FIT_COMPLETE,True,18,787,1899,2020-03-17,,18,18
1949,2020-06-01,2020-06-01 15:05:00,FIT_COMPLETE,True,19,829,1945,2020-05-26,,19,19
1969,2020-07-01,2020-07-01 15:05:00,FIT_COMPLETE,True,19,829,1945,2020-05-26,,19,19
1992,2020-08-03,2020-08-03 15:05:00,FIT_COMPLETE,True,19,829,1945,2020-05-26,,19,19
2013,2020-09-01,2020-09-01 15:05:00,FIT_COMPLETE,True,19,829,1945,2020-05-26,,19,19
2035,2020-10-09,2020-10-09 15:05:00,FIT_COMPLETE,True,20,888,2029,2020-09-23,,20,20
2051,2020-11-02,2020-11-02 15:05:00,FIT_COMPLETE,True,20,888,2029,2020-09-23,,20,20
2072,2020-12-01,2020-12-01 15:05:00,FIT_COMPLETE,True,20,888,2029,2020-09-23,,20,20
2095,2021-01-04,2021-01-04 15:05:00,FIT_COMPLETE,True,20,888,2029,2020-09-23,,20,20
2115,2021-02-01,2021-02-01 15:05:00,FIT_COMPLETE,True,20,888,2029,2020-09-23,,20,20
2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,True,20,862,2130,2021-03-01,,20,20
2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,True,20,862,2130,2021-03-01,,20,20
2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,True,20,862,2130,2021-03-01,,20,20
2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,True,20,862,2130,2021-03-01,,20,20
2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,True,20,862,2130,2021-03-01,,20,20
2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,True,20,844,2232,2021-07-28,,20,20
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,True,20,892,2347,2022-01-17,,20,20
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,True,20,890,2479,2022-08-04,,20,20
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,True,20,885,2504,2022-09-08,,20,20
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,True,20,885,2910,2024-05-20,,20,20
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,True,20,885,2910,2024-05-20,,20,20
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,True,20,915,2945,2024-07-09,,20,20
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,True,20,915,2945,2024-07-09,,20,20
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,True,20,896,2989,2024-09-09,,20,20
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,True,20,842,3005,2024-10-10,,20,20
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,20,20
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,20,20
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,True,20,842,3187,2025-07-09,,20,20
