fit_index,deleted_cycle_id,remaining_cycles,remaining_rows,maximum_gradient_residual,whole_cycle_deleted,no_backfill
1157,1,9,379,1.5287250632045613e-16,True,True
1157,2,9,386,1.0755285551056204e-16,True,True
1157,3,9,432,1.7520707107365752e-16,True,True
1157,4,9,379,1.0928757898653885e-16,True,True
1157,5,9,413,1.6306400674181987e-16,True,True
1157,6,9,379,1.6750923564901044e-16,True,True
1157,8,9,437,1.1102230246251565e-16,True,True
1157,9,9,379,2.0469737016526324e-16,True,True
1157,10,9,379,1.0234868508263162e-16,True,True
1157,11,9,379,1.734723475976807e-16,True,True
1180,1,9,379,1.5287250632045613e-16,True,True
1180,2,9,386,1.0755285551056204e-16,True,True
1180,3,9,432,1.7520707107365752e-16,True,True
1180,4,9,379,1.0928757898653885e-16,True,True
1180,5,9,413,1.6306400674181987e-16,True,True
1180,6,9,379,1.6750923564901044e-16,True,True
1180,8,9,437,1.1102230246251565e-16,True,True
1180,9,9,379,2.0469737016526324e-16,True,True
1180,10,9,379,1.0234868508263162e-16,True,True
1180,11,9,379,1.734723475976807e-16,True,True
1198,1,9,379,1.5287250632045613e-16,True,True
1198,2,9,386,1.0755285551056204e-16,True,True
1198,3,9,432,1.7520707107365752e-16,True,True
1198,4,9,379,1.0928757898653885e-16,True,True
1198,5,9,413,1.6306400674181987e-16,True,True
1198,6,9,379,1.6750923564901044e-16,True,True
1198,8,9,437,1.1102230246251565e-16,True,True
1198,9,9,379,2.0469737016526324e-16,True,True
1198,10,9,379,1.0234868508263162e-16,True,True
1198,11,9,379,1.734723475976807e-16,True,True
1218,1,10,438,1.9949319973733282e-16,True,True
1218,2,10,445,1.1102230246251565e-16,True,True
1218,3,10,491,2.1640675362810669e-16,True,True
1218,4,10,438,1.2836953722228372e-16,True,True
1218,5,10,472,4.371503159461554e-16,True,True
1218,6,10,438,6.581107186987012e-16,True,True
1218,8,10,496,2.0990154059319366e-16,True,True
1218,9,10,438,2.6020852139652106e-16,True,True
1218,10,10,438,3.0010716134398763e-16,True,True
1218,11,10,438,1.6479873021779667e-16,True,True
1218,12,10,438,6.158268339717665e-16,True,True
1240,1,10,438,1.9949319973733282e-16,True,True
1240,2,10,445,1.1102230246251565e-16,True,True
1240,3,10,491,2.1640675362810669e-16,True,True
1240,4,10,438,1.2836953722228372e-16,True,True
1240,5,10,472,4.371503159461554e-16,True,True
1240,6,10,438,6.581107186987012e-16,True,True
1240,8,10,496,2.0990154059319366e-16,True,True
1240,9,10,438,2.6020852139652106e-16,True,True
1240,10,10,438,3.0010716134398763e-16,True,True
1240,11,10,438,1.6479873021779667e-16,True,True
