cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
1.0,2020-02-05,2020-02-04,199940.78016,17582.400000000023,83.424,264.00000000001785,0.0,19.0,1.0,1.0,2020-03-03,2020-03-02,False,17234.976000000006,0.0862004038706258,1.0,2020-02-05,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,both,evaluation,BASE
2.0,2020-07-01,2020-06-30,217085.40840000001,19839.400000000023,90.72252,310.8000000000118,0.0,12.0,1.0,1.0,2020-07-17,2020-07-16,False,19437.877480000014,0.08954023037874531,2.0,2020-07-01,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,both,evaluation,BASE
3.0,2020-08-19,2020-08-18,236242.239,-9409.0,92.53800000000001,291.000000000011,0.0,30.0,1.0,1.0,2020-09-30,2020-09-29,False,-9792.538000000011,-0.04145125800301957,3.0,2020-08-19,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,both,evaluation,BASE
4.0,2021-01-05,2021-01-04,226315.254,1147.5,90.68650000000001,255.00000000000966,3059.9999999999995,19.0,1.0,1.0,2021-02-01,2021-01-29,False,3861.8134999999907,0.01706386746692731,4.0,2021-01-05,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,both,evaluation,BASE
,,2021-02-02,,,,,,,,,,,,,,5.0,2021-02-03,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,right_only,evaluation,BASE
5.0,2021-02-04,2021-02-03,229491.8892,-3318.0,91.0644,252.00000000000955,0.0,12.0,1.0,1.0,2021-03-01,2021-02-26,False,-3661.0644000000098,-0.01595291412155062,,,,,,,,,,,,,,,,left_only,evaluation,BASE
6.0,2021-06-08,2021-06-07,227072.20536,-20849.399999999965,86.58936,257.40000000000975,0.0,35.0,1.0,1.0,2021-07-28,2021-07-27,False,-21193.389359999976,-0.09333326078548453,6.0,2021-06-08,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,both,evaluation,BASE
7.0,2021-10-29,2021-10-28,205424.5767,-1079.0,81.8878,249.00000000000944,0.0,24.0,1.0,1.0,2021-12-02,2021-12-01,False,-1409.8878000000095,-0.006863286869803293,7.0,2021-10-29,228689.52876,1293.600000000035,91.66080000000001,277.2000000000105,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,924.7392000000243,0.004043644695995238,both,evaluation,BASE
,,2021-11-24,,,,,,,,,,,,,,8.0,2021-11-25,229591.80918,3672.0,92.49768,275.40000000001044,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,3304.1023199999895,0.014391202943174567,right_only,evaluation,BASE
8.0,2022-05-13,2022-05-12,204328.8576,-256.0,81.62304,204.80000000002292,0.0,9.0,1.0,1.0,2022-05-26,2022-05-25,False,-542.4230400000229,-0.0026546570385172206,9.0,2022-05-13,233062.6032,5314.399999999965,94.21088,291.9999999999678,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4928.189119999997,0.02114534486586391,both,evaluation,BASE
