period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,343,343,0,16,21,0,317
evaluation,STRESS,342,342,0,16,21,0,318
earlier_diagnostic,BASE,304,100,204,1,9,0,384
earlier_diagnostic,STRESS,304,100,204,1,9,0,384
