fit_index,fit_origin,deleted_cycle_id,training_cycles,training_rows,latest_exit_index,status,failure
1157,2017-03-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1157,2017-03-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11]",386,1142,FIT_COMPLETE,
1157,2017-03-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11]",432,1142,FIT_COMPLETE,
1157,2017-03-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1157,2017-03-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11]",413,1142,FIT_COMPLETE,
1157,2017-03-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1157,2017-03-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11]",437,1142,FIT_COMPLETE,
1157,2017-03-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11]",379,1142,FIT_COMPLETE,
1157,2017-03-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11]",379,1142,FIT_COMPLETE,
1157,2017-03-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",379,1079,FIT_COMPLETE,
1180,2017-04-05,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1180,2017-04-05,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11]",386,1142,FIT_COMPLETE,
1180,2017-04-05,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11]",432,1142,FIT_COMPLETE,
1180,2017-04-05,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1180,2017-04-05,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11]",413,1142,FIT_COMPLETE,
1180,2017-04-05,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1180,2017-04-05,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11]",437,1142,FIT_COMPLETE,
1180,2017-04-05,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11]",379,1142,FIT_COMPLETE,
1180,2017-04-05,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11]",379,1142,FIT_COMPLETE,
1180,2017-04-05,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",379,1079,FIT_COMPLETE,
1198,2017-05-02,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1198,2017-05-02,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11]",386,1142,FIT_COMPLETE,
1198,2017-05-02,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11]",432,1142,FIT_COMPLETE,
1198,2017-05-02,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1198,2017-05-02,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11]",413,1142,FIT_COMPLETE,
1198,2017-05-02,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11]",379,1142,FIT_COMPLETE,
1198,2017-05-02,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11]",437,1142,FIT_COMPLETE,
1198,2017-05-02,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11]",379,1142,FIT_COMPLETE,
1198,2017-05-02,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11]",379,1142,FIT_COMPLETE,
1198,2017-05-02,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",379,1079,FIT_COMPLETE,
1218,2017-06-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12]",445,1205,FIT_COMPLETE,
1218,2017-06-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",491,1205,FIT_COMPLETE,
1218,2017-06-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12]",472,1205,FIT_COMPLETE,
1218,2017-06-01,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]",496,1205,FIT_COMPLETE,
1218,2017-06-01,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12]",438,1205,FIT_COMPLETE,
1218,2017-06-01,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",438,1142,FIT_COMPLETE,
1240,2017-07-03,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12]",445,1205,FIT_COMPLETE,
1240,2017-07-03,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",491,1205,FIT_COMPLETE,
1240,2017-07-03,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12]",472,1205,FIT_COMPLETE,
1240,2017-07-03,6,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,8,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]",496,1205,FIT_COMPLETE,
1240,2017-07-03,9,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,10,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,11,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12]",438,1205,FIT_COMPLETE,
1240,2017-07-03,12,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",438,1142,FIT_COMPLETE,
1261,2017-08-01,1,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,2,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 12]",445,1205,FIT_COMPLETE,
1261,2017-08-01,3,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 12]",491,1205,FIT_COMPLETE,
1261,2017-08-01,4,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]",438,1205,FIT_COMPLETE,
1261,2017-08-01,5,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12]",472,1205,FIT_COMPLETE,
