path,size_bytes,last_write_time_utc,sha256
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20150930.parquet,78891,2026-08-13T08:03:27.804189+00:00,784ff102d9d645966a33261b6d9d8cbf78ed5c52077a048ac67113fb90608ac3
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20151231.parquet,138732,2026-08-13T08:03:35.956512+00:00,3936e9faadf22efb77608f7a5c0288e67daf35222c563cd6b2779fcccc4191c5
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20160331.parquet,81835,2026-08-13T08:03:45.137283+00:00,92e54e9cd37c7bbe3ca8db8df51468b67e333d4825fdf2f7d9cdf161bde728b0
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20160630.parquet,119971,2026-08-13T08:03:53.826912+00:00,a7368e81297a7cf18eda0f354d2b6a7fb8e8a1923d7e80fa24ff4dbd80eebe03
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20160930.parquet,85586,2026-08-13T08:04:12.217212+00:00,b8e39c4104515fb7913da21d5bd4bd5f98cbd170f5cd10215ee6c010c0984522
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20161231.parquet,143898,2026-08-13T08:04:22.412345+00:00,35667185ae87dad27f5432c5815d02c9075fdd9e3307598f5d1ec9787e0ec38e
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20170331.parquet,91048,2026-08-13T08:04:32.132133+00:00,067e90c323ca0e507f34205e62d8916cf9bbcce4ca0846ecabd320b8f56b4a5d
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20170630.parquet,125516,2026-08-13T08:04:40.205806+00:00,91ab416e4c07fb04a553dac8947a19fa0ad029bb5cfd54fefe2e5b2d4cf4d452
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20170930.parquet,95158,2026-08-13T08:04:48.716123+00:00,4a2557bd6c9f10fe09a56b35862ada41ba76a4c14adafa0af657c8c01c0c376a
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20171231.parquet,149634,2026-08-13T08:04:58.752459+00:00,9a6ab67e0b892eed30138370cec99f26247935f61fee4bc64b7f4b1a36a2a96d
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20180331.parquet,98235,2026-08-13T08:05:16.206840+00:00,976cce2b88cbc01ca888237abec1a9331a71086e7e85ad3295b60ef70a82b5f6
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20180630.parquet,129732,2026-08-13T08:05:28.884374+00:00,21a4c9550c141bb26fe0ea9c0ac789463e5e6f5ef2b1c9addd0bee0f50989cce
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20180930.parquet,115738,2026-08-13T08:05:40.912299+00:00,d7788591836e96841e36b8ed6b098530373c19e98724561714306e1863f0c22b
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20181231.parquet,146750,2026-08-13T08:05:50.930107+00:00,a9f57124f15959b59ae08e2bd428b00e31bf5c6e4a6808d4c455b7dd261f384f
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20190331.parquet,118975,2026-08-13T08:05:59.947657+00:00,61b790954b69332b03e6118db511dbb8d2d7ea9fb9f2176072ff74eec8f61854
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20190630.parquet,111543,2026-08-13T08:06:08.105212+00:00,f6438e71ee166051f9b4d0ca2e3c16a5032c4fa8eef16b9e49d2fac9c0311b74
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20190930.parquet,102796,2026-08-13T08:06:17.965359+00:00,3a5429614a78386d3a54f31eb5cab775d04fc2047407de044fd121c40a5c934a
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20191231.parquet,151972,2026-08-13T08:06:33.200254+00:00,1ed99bc020e30e42971facf30c83f5af9ca69d8839013057b23f8418f03d3aed
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20200331.parquet,107003,2026-08-13T08:06:44.801270+00:00,17ffb5d3f61f11e276bd7c660295b2df76a955c00d0a404d932edb71bf337002
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20200630.parquet,138391,2026-08-13T08:06:54.143833+00:00,37b15a624c42a8d1e16c1f1126654889634c327c00a3628ca6893cc5abbfd62b
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20200930.parquet,113444,2026-08-13T08:07:10.596171+00:00,5b399d56a3e4cdd3bb05559aa2fdebafdafcf4315dfd5530c3354ab3e99c6f27
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20201231.parquet,139475,2026-08-13T08:07:19.089912+00:00,187e43c4268245f6ec676ff1c4c2df1191f3fdeac15481b70a956bfcf7835a46
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20210331.parquet,134492,2026-08-13T08:07:28.674061+00:00,af13e20b33eb143145c98eea9a7afc7b4fd5b2f3c0f3bc44d035ee4ef4890cfa
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20210630.parquet,128362,2026-08-13T08:07:38.218848+00:00,e4baecfa4fa2a5daae80487b7509e2f3c8ae7e72a48c088ddd4b335466ee5e4c
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20210930.parquet,138595,2026-08-13T08:07:50.567218+00:00,fb1dd2c7c9025cf96bd39c9e8a7bc1633de895ad058192a10c55217ccf786402
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20211231.parquet,155505,2026-08-13T08:08:07.163859+00:00,3f4a0bfcf7be89fbf5b64faf9a464ff15a9130c3e5f892c7c9206fdd619639bb
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20220331.parquet,134194,2026-08-13T08:08:26.645829+00:00,37b101eb6e15322deb44a6107a2503d14014fd98928eb02db2774d57f5f83108
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20220630.parquet,135945,2026-08-13T08:08:51.782042+00:00,5f0927151a478eea72f09d40004d0c99747b47a108a401c0a4605710e50dde65
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20220930.parquet,133668,2026-08-13T08:09:06.180914+00:00,0cc7accce4e43348d780157b1f241e35cf9deee1f9976255c6ff0acd2959af7c
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20221231.parquet,155344,2026-08-13T08:09:28.872660+00:00,f0fb0ec0596009b4e93d56425ba3b9b2fb376df786b39c4474a15fcc2a21e32d
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20230331.parquet,147848,2026-08-13T08:09:51.925361+00:00,9208be6e5fad34d71f6a4ca852790aa2777f9287198b66e80f75bb21d1b2d92b
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20230630.parquet,153896,2026-08-13T08:10:28.405642+00:00,201d1d42cb40cc998dd91e9a94e00d14e3c6742141c5c207b950304800926b9f
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20230930.parquet,144679,2026-08-13T08:10:47.170722+00:00,892f3da58650d86295a7f079e68594279fe40f6ec23818fee280d3d9af274088
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20231231.parquet,157103,2026-08-13T08:11:00.972119+00:00,3d160afaa6c28264f5b9b45e082b1c5252ce00fd911c2260e66141c1d6d05720
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20240331.parquet,144115,2026-08-13T08:11:11.239273+00:00,f93e73ebee1d3234aa600e5eb9a020b17458ef4f5c00bcb9764d8846bc117e16
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20240630.parquet,148359,2026-08-13T08:11:27.326291+00:00,ad05bbc5f48f407b19002f2fcbe41cee43cc03f78757cf4c1c167d0a3d2683d7
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20240930.parquet,143470,2026-08-13T08:11:36.375658+00:00,dbb7cea09c7839ff5a7a53d6b18e1293740f9d8dd5270773d81f6eb684d2ec43
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20241231.parquet,168383,2026-08-13T08:11:47.709812+00:00,f6e9842668513a1bbc0126f34ae19e672c8f36e78ed7f3c06766cec228aef500
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20250331.parquet,151645,2026-08-13T08:12:00.185929+00:00,34c85a75778957ede01caeec7927fdc45ee29626bbeb9ed909e7e9439b7660ba
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20250630.parquet,165837,2026-08-13T08:12:09.988786+00:00,58cd38b38957a0ec9db16b7046fe43da4f90dc8bd2c4fd4bb59fd4379d6bfcb7
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20250930.parquet,151867,2026-08-13T08:12:21.864978+00:00,d468801659941cfcb05fc0b2380e4d053e5a8663c1806c93ff492d8da85714e5
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20251231.parquet,163629,2026-08-13T08:12:31.318506+00:00,69ab0d6c5ca4479669bdbc9bc1815ac958ea81e127007f181df279ccbea11bdf
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20260331.parquet,155458,2026-08-13T08:12:41.734284+00:00,1a6494125ef6d59c511f0bcbacc4fcf980574aead6540c2e86d1d1f4e3558e55
data/raw/fundamentals/vip_checkpoints/balancesheet_vip/20260630.parquet,11782,2026-08-13T08:12:48.132718+00:00,40aaeb7e7677b1bd0a5c993c5fe64b2693fbbbfe2c6455e8d509f7ee61096d76
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20150930.parquet,121321,2026-08-13T08:03:30.431978+00:00,0cb63164bfab415183084efdc62827d8580048fd88e01ea08a9afb4e0a475057
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20151231.parquet,196996,2026-08-13T08:03:39.092237+00:00,e2e696b28ee29bb6ae5098084f815c05734d7ee3a999185e645e9eb85cf7cc29
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20160331.parquet,127159,2026-08-13T08:03:48.485192+00:00,501026fe9cc6996030e59d3096d3593995a5bdc70908e6a23f9583999b9b60ff
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20160630.parquet,171993,2026-08-13T08:03:56.731845+00:00,285f1080faac137e26fcf9a8b53edfc44c52b10ce8dbfca01a8b6a86d74e1342
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20160930.parquet,137640,2026-08-13T08:04:15.048747+00:00,da9717e4469da9cad18f91050542b3869600a66ef2fa43e2c261b43fc93653c2
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20161231.parquet,213198,2026-08-13T08:04:25.263113+00:00,6da766a06619cb51f6ae5c3c9027ac47f53cb8c4aff3b5084de04d68a5e2f5f2
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20170331.parquet,142998,2026-08-13T08:04:34.918623+00:00,af282b7b1a0f63f6db89cd3ad88ba3b879b720fbe76e00df913b76492b6e133d
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20170630.parquet,182283,2026-08-13T08:04:43.565407+00:00,0961b70e7cc09291e08fee5fb205a3a231c4a874a486e82eaafdb5e4090d1820
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20170930.parquet,153707,2026-08-13T08:04:52.155736+00:00,bc1e52b73b4efef2f5fb7ab87052003fcd538f4548b11eb857c051894ba939dd
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20171231.parquet,219470,2026-08-13T08:05:01.657581+00:00,63814bc1c4e74011a5276ca6c302308535e517d9393d6d3172fcba15cebbc397
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20180331.parquet,147292,2026-08-13T08:05:20.677049+00:00,90b53d24587cd54d5f3ed5f19a9966afd9431b2a1c357831fb97649b613e262e
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20180630.parquet,181946,2026-08-13T08:05:34.314895+00:00,4ac78a634085179806f829c594db9fc1661c7d4b961d317d4a56125ecf6ca1ca
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20180930.parquet,156689,2026-08-13T08:05:44.702388+00:00,9b396af6d8767736946dba15135ca6623dd4091edecf6a15ced67993c759646b
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20181231.parquet,230918,2026-08-13T08:05:53.783379+00:00,1d5f62ee95da98fc87b66ef20f84bc958e8d50e94dbb52826e8245234ead35ea
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20190331.parquet,154388,2026-08-13T08:06:02.726412+00:00,b69c5e8b7125caa16fd72a6fb730b8c687d600a5ad8158978aaee385497d9d0d
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20190630.parquet,191452,2026-08-13T08:06:12.637548+00:00,47a06571d0620c30aa3947befb1388fe0480d509b188385c8a405a0860753374
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20190930.parquet,169967,2026-08-13T08:06:24.509781+00:00,a8f1c12ca71f6da2981f69d05c10298fbe26fc8762c0dbbb9a615de558440f49
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20191231.parquet,238222,2026-08-13T08:06:37.104119+00:00,74fc00470756e2a62161d7e5e450f711947aa9d307e41a9a3bbcdb0fffce0ee3
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20200331.parquet,169590,2026-08-13T08:06:47.669549+00:00,659c87482494f61f1d709cb1670b96472251ea2352e63661fb5cea207b926c8f
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20200630.parquet,207682,2026-08-13T08:07:00.909875+00:00,0f0854030c1ba0c32b6d7970c7ea65df8381b9703fd9d141b638253419cbbf1e
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20200930.parquet,190232,2026-08-13T08:07:13.467041+00:00,a47a816d37220c989b59af28f28c2a27fc2ac47258861889b4c4d894e37cafc1
data/raw/fundamentals/vip_checkpoints/fina_indicator_vip/20201231.parquet,250905,2026-08-13T08:07:22.928193+00:00,3e64a671b83c1358a4d50f4ab5b12512f73194e059dfc71f2d707bc8d71de22b
