period,date,status,selected_parent,observations,two_past_sharpe,three_past_sharpe,changed
evaluation,2020-01-02,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,1,,,False
evaluation,2020-02-03,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,17,,,False
evaluation,2020-03-02,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,37,,,False
evaluation,2020-04-01,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,59,,,False
evaluation,2020-05-06,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,80,,,False
evaluation,2020-06-01,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,98,,,False
evaluation,2020-07-01,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,118,,,False
evaluation,2020-08-03,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,141,,,False
evaluation,2020-09-01,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,162,,,False
evaluation,2020-10-09,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,184,,,False
evaluation,2020-11-02,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,200,,,False
evaluation,2020-12-01,NO_VIEW_WARMUP_KEEP_SELECTION,TWO_POLICY_MIN_VARIANCE,221,,,False
evaluation,2021-01-04,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,1.5981709612944062,1.6744165918353289,True
evaluation,2021-02-01,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,1.2349277762387338,1.4947026805354076,False
evaluation,2021-03-01,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,0.992033636029577,1.292511849260891,False
evaluation,2021-04-01,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,0.992033636029577,1.292511849260891,False
evaluation,2021-05-06,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,0.992033636029577,1.292511849260891,False
evaluation,2021-06-01,POSITIVE_PAST_SHARPE_PARENT_SELECTED,THREE_POLICY_MIN_VARIANCE,242,0.992033636029577,1.2765793298673693,False
