period,date,selected_parent,target,two_parent_target,three_parent_target,two_past_sharpe,three_past_sharpe,selection_status,selection_update_scheduled,selection_changed,selection_attempt_origin,last_successful_selection_origin,selection_window_start,selection_window_observations,two_reference_return,three_reference_return
evaluation,2020-01-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.3333333333333333,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-01-02,,2020-01-02,1,0.0,0.002039207399999965
evaluation,2020-02-03,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-02-03,,2020-01-02,17,0.0,0.0
evaluation,2020-03-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-03-02,,2020-01-02,37,0.0015285602262913311,0.0010101961049588937
evaluation,2020-04-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-04-01,,2020-01-02,59,0.0,0.0
evaluation,2020-05-06,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-05-06,,2020-01-02,80,0.0,0.0
evaluation,2020-06-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.3333333333333333,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-06-01,,2020-01-02,98,0.0,0.0
evaluation,2020-07-01,TWO_POLICY_MIN_VARIANCE,0.5,0.5,0.3333333333333333,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-07-01,,2020-01-02,118,0.009683323762840201,0.006460810174695464
evaluation,2020-08-03,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-08-03,,2020-01-02,141,0.0,0.0
evaluation,2020-09-01,TWO_POLICY_MIN_VARIANCE,0.5,0.5,0.3333333333333333,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-09-01,,2020-01-02,162,0.0034886995699305867,0.002320690908555356
evaluation,2020-10-09,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-10-09,,2020-01-02,184,0.0,0.0
evaluation,2020-11-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-11-02,,2020-01-02,200,0.0,0.0
evaluation,2020-12-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,,,NO_VIEW_WARMUP_KEEP_SELECTION,True,False,2020-12-01,,2020-01-02,221,0.0,0.0
evaluation,2021-01-04,THREE_POLICY_MIN_VARIANCE,0.42484341982215934,0.0009649189618268217,0.42484341982215934,1.5981709612944055,1.6744165918353282,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,True,2021-01-04,2021-01-04,2020-01-06,242,0.0,0.003003981549674961
evaluation,2021-02-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,1.234927776238733,1.4947026805354064,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,False,2021-02-01,2021-02-01,2020-02-11,242,0.0,0.0
evaluation,2021-03-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,0.9920336360295737,1.2925118492608871,POSITIVE_PAST_SHARPE_PARENT_SELECTED,True,False,2021-03-01,2021-03-01,2020-03-03,242,0.0,0.0
