period,selection_origin,future_start,future_end,selected_parent,chosen_future_return,other_future_return,future_relative_return,role
evaluation,2021-01-04,2021-01-05,2021-02-01,THREE_POLICY_MIN_VARIANCE,0.00897980518823438,0.0,0.00897980518823438,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-02-01,2021-02-02,2021-03-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-03-01,2021-03-02,2021-04-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-04-01,2021-04-02,2021-05-06,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-05-06,2021-05-07,2021-06-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-06-01,2021-06-02,2021-07-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-07-01,2021-07-02,2021-08-02,THREE_POLICY_MIN_VARIANCE,0.016231867404008282,0.018348273181371333,-0.0021164057773630507,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-08-02,2021-08-03,2021-09-01,THREE_POLICY_MIN_VARIANCE,0.01791753514824701,0.02021163536447057,-0.00229410021622356,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-09-01,2021-09-02,2021-10-08,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-10-08,2021-10-11,2021-11-01,THREE_POLICY_MIN_VARIANCE,-0.0019162561447967352,0.0003178845152005394,-0.0022341406599972746,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-11-01,2021-11-02,2021-12-01,THREE_POLICY_MIN_VARIANCE,-0.004827053403766879,-0.0015161822964731009,-0.003310871107293778,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2021-12-01,2021-12-02,2022-01-04,THREE_POLICY_MIN_VARIANCE,0.0014573958610515358,0.0031210885555508217,-0.0016636926944992858,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
evaluation,2022-01-04,2022-01-05,2022-02-07,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,DIAGNOSTIC_FUTURE_OUTCOME_NEVER_SELECTION_INPUT
