date,selected_parent,target,two_parent_target,three_parent_target,two_past_sharpe,three_past_sharpe,selection_status,selection_update_scheduled,selection_changed,selection_attempt_origin,last_successful_selection_origin,selection_window_start,selection_window_observations,two_reference_return,three_reference_return
2012-05-28,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-05-29,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-05-30,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-05-31,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-01,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-04,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-05,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-06,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-07,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-08,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-11,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-12,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-13,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-14,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-15,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-18,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-19,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-20,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-21,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-25,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-26,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-27,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-28,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-06-29,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-02,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-03,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-04,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-05,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-06,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-09,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-10,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-11,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-12,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-13,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-16,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-17,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-18,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-19,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-20,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-23,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-24,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-25,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-26,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-27,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-30,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-07-31,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-01,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-02,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-03,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-06,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-07,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-08,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-09,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-10,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-13,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-14,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-15,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-16,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-17,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-20,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-21,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-22,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-23,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-24,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-27,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-28,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-29,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-30,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-08-31,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-03,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-04,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-05,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-06,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-07,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-10,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-11,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-12,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-13,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-14,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-17,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-18,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-19,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-20,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-21,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-24,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-25,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-26,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-27,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-09-28,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-08,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-09,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-10,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-11,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-12,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-15,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-16,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-17,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-18,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-19,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-22,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-23,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-24,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-25,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-26,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-29,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-30,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-10-31,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-01,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-02,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-05,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-06,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-07,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-08,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-09,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-12,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-13,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
2012-11-14,,,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,False,,,,0,,
