period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,26,14,40257.61546000008,38465.55346000002,0.9554851428848126
evaluation,STRESS,26,14,36482.87092000004,37796.515799999994,1.0360071684840957
earlier_diagnostic,BASE,20,10,47495.59183999999,64216.673760000005,1.3520554491947145
earlier_diagnostic,STRESS,20,10,43700.548400000014,63479.171079999986,1.4525943816302307
