report_id,ts_code,sec_name,institution,target_fiscal_year,metric_id,metric_value_exact,unit,source_page,source_raw_row,source_raw_value,all_cells,selected_column_one_based,header,report_internal_date,provider_notice_date,provider_eitime,conservative_information_date,provider_date_fields_are_currently_retrieved_historical_metadata,historical_immutable_snapshot_proven,eps_definition,basis_note_raw,status,actual_future_eps_used_as_predictor
AP202203101551739416,000001.SZ,平安银行,国信证券,2022,ANALYST_ANNUAL_EPS_FORECAST,2.01,CNY_PER_SHARE,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68,2.01,"['1.49', '1.73', '2.01', '2.32', '2.68']",3,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202203101551739416,000001.SZ,平安银行,国信证券,2022,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,41882000000,CNY,1,"净利润(百万元) 28,928 36,336 41,882 47,886 54,797","41,882","['28,928', '36,336', '41,882', '47,886', '54,797']",3,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202203101551739416,000001.SZ,平安银行,国信证券,2023,ANALYST_ANNUAL_EPS_FORECAST,2.32,CNY_PER_SHARE,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68,2.32,"['1.49', '1.73', '2.01', '2.32', '2.68']",4,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202203101551739416,000001.SZ,平安银行,国信证券,2023,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,47886000000,CNY,1,"净利润(百万元) 28,928 36,336 41,882 47,886 54,797","47,886","['28,928', '36,336', '41,882', '47,886', '54,797']",4,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202203101551739416,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_EPS_FORECAST,2.68,CNY_PER_SHARE,1,摊薄每股收益(元) 1.49 1.73 2.01 2.32 2.68,2.68,"['1.49', '1.73', '2.01', '2.32', '2.68']",5,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202203101551739416,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,54797000000,CNY,1,"净利润(百万元) 28,928 36,336 41,882 47,886 54,797","54,797","['28,928', '36,336', '41,882', '47,886', '54,797']",5,"[('2020', ''), ('2021', ''), ('2022', 'E'), ('2023', 'E'), ('2024', 'E')]",2022-03-10,2022-03-10 00:00:00,2022-03-10 14:11:03,2022-03-10,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_EPS_FORECAST,2.24,CNY_PER_SHARE,1,摊薄每股收益(元) 2.20 2.20 2.24 2.40 2.67,2.24,"['2.20', '2.20', '2.24', '2.40', '2.67']",3,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,47176000000,CNY,1,"净利润(百万元) 45,516 46,455 47,176 50,316 55,522","47,176","['45,516', '46,455', '47,176', '50,316', '55,522']",3,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2025,ANALYST_ANNUAL_EPS_FORECAST,2.40,CNY_PER_SHARE,1,摊薄每股收益(元) 2.20 2.20 2.24 2.40 2.67,2.40,"['2.20', '2.20', '2.24', '2.40', '2.67']",4,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2025,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,50316000000,CNY,1,"净利润(百万元) 45,516 46,455 47,176 50,316 55,522","50,316","['45,516', '46,455', '47,176', '50,316', '55,522']",4,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2026,ANALYST_ANNUAL_EPS_FORECAST,2.67,CNY_PER_SHARE,1,摊薄每股收益(元) 2.20 2.20 2.24 2.40 2.67,2.67,"['2.20', '2.20', '2.24', '2.40', '2.67']",5,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202403151626825160,000001.SZ,平安银行,国信证券,2026,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,55522000000,CNY,1,"净利润(百万元) 45,516 46,455 47,176 50,316 55,522","55,522","['45,516', '46,455', '47,176', '50,316', '55,522']",5,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-03-15,2024-03-15 00:00:00,2024-03-15 11:20:04,2024-03-15,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202408161639304268,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_EPS_FORECAST,2.23,CNY_PER_SHARE,1,摊薄每股收益(元) 2.20 2.20 2.23 2.30 2.47,2.23,"['2.20', '2.20', '2.23', '2.30', '2.47']",3,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-08-16,2024-08-16 00:00:00,2024-08-16 10:32:45,2024-08-16,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
AP202408161639304268,000001.SZ,平安银行,国信证券,2024,ANALYST_ANNUAL_PARENT_PROFIT_FORECAST,46977000000,CNY,1,"归母净利润(百万元) 45,516 46,455 46,977 48,387 51,798","46,977","['45,516', '46,455', '46,977', '48,387', '51,798']",3,"[('2022', ''), ('2023', ''), ('2024', 'E'), ('2025', 'E'), ('2026', 'E')]",2024-08-16,2024-08-16 00:00:00,2024-08-16 10:32:45,2024-08-16,True,False,分析师预测的摊薄每股收益，原文说明按最新总股本计算；未冒充财报基本每股收益,资料来源：Wind、国信证券经济研究所预测 注：摊薄每股收益按最新总股本计算,HISTORICAL_DATED_ANALYST_FORECAST_SOURCE_PILOT_NOT_PORTFOLIO_ADMITTED,False
