period,cost,cycles,net_profit,top1_share,top3_share,top5_share,holding_closes,pnl_outside_cycles
evaluation,BASE,28,177943.47612000024,0.35092678024278146,0.633341655324294,0.7835268812326481,321,0.0
evaluation,STRESS,28,167321.94307999988,0.36355020124835685,0.6567442193009949,0.8102059657243138,321,0.0
earlier_diagnostic,BASE,13,29890.959220000077,1.0230109905452522,2.134524935463075,2.613403561426419,323,0.0
earlier_diagnostic,STRESS,13,29934.45947999996,1.0169670716900503,2.104714749972165,2.67499442151277,329,0.0
