diagnostic,interpretation,removed_entry_origin,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
HINDSIGHT_DELETE_SOURCE_EPISODE_1,HINDSIGHT_DIAGNOSTIC_NOT_TRADABLE,2020-07-02,0.8834948815999975,0.10023298396724246,0.09863831774355401,0.07979860317976376,1.236090781205151,-0.054674406180208766,1604,0.12053541197634722,70,2482.92368,7489.7999999999965,False,6.446043698815629e-11
HINDSIGHT_DELETE_SOURCE_EPISODE_2,HINDSIGHT_DIAGNOSTIC_NOT_TRADABLE,2024-09-24,0.6885499400000014,0.08224519099463647,0.08114960226980815,0.06530422984102693,1.2426392971382456,-0.05463634287654498,1604,0.12052180810190076,70,2347.9120000000003,7076.899999999992,False,8.117240213323385e-11
HINDSIGHT_DELETE_SOURCE_EPISODE_3,HINDSIGHT_DIAGNOSTIC_NOT_TRADABLE,2025-08-22,0.849434725500003,0.0972079043109683,0.09585775467367891,0.07946634727489038,1.2062685395880508,-0.05463634287654498,1604,0.11929195415874472,68,2333.9548999999997,6998.500000000025,False,7.685230229981244e-11
