period,cost,model,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_origins,entry_requests,exit_requests,mean_exposure
evaluation,BASE,EASE_OF_MOVEMENT_ZERO_CROSS,728,73,73,0,0,74,73,0.4522466314490369
evaluation,STRESS,EASE_OF_MOVEMENT_ZERO_CROSS,728,73,73,0,0,74,73,0.4522449882894991
earlier_diagnostic,BASE,EASE_OF_MOVEMENT_ZERO_CROSS,633,63,63,0,0,63,62,0.5178080521058378
earlier_diagnostic,STRESS,EASE_OF_MOVEMENT_ZERO_CROSS,633,63,63,0,0,63,62,0.5177452857713664
