cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,PRICE_SHARPE_EXPANDING,0.07989590169999933,0.011664289636139042,0.0143979346940601,0.07484223882065208,0.19237712448130442,-0.21390097036213734,1604,0.39570704103626436,147,782.91966,2295.5000000000146,False,4.274625098332763e-11,-0.024593182009477934,False
BASE,PRICE_SHARPE_ROLL756,-0.15389917580000168,-0.024898172366749096,-0.023346513859057342,0.061002580066019704,-0.38271354807928953,-0.2391310810843169,1604,0.2235122366545725,97,536.63516,1454.7000000000098,False,4.928324415232055e-11,-0.061155644012366076,False
BASE,PRICE_MEANVAR_EXPANDING,0.09847501920000405,0.014271284490602266,0.018443004436607614,0.09240738476938311,0.19958366403978403,-0.25757748291591515,1604,0.49552070012669475,47,264.49616000000003,756.7000000000168,False,4.290257038519485e-11,-0.02198618715501471,False
BASE,PRICE_MEANVAR_ROLL756,0.033674542300000936,0.005009408628449071,0.008581873409008331,0.08462988735439352,0.1014047599173935,-0.23634929755512585,1604,0.4098127218867539,69,388.29154000000005,1076.4999999999964,False,4.5929482439532876e-11,-0.031248063017167906,False
BASE,FULL_SHARPE_EXPANDING,0.1588638711999942,0.022493962159354237,0.025036230384635916,0.07483238994811144,0.33456408918646013,-0.22124927176865733,1604,0.3594113145804894,189,1043.1257600000001,3157.7999999999806,False,4.865796654485166e-11,-0.013763509486262739,False
BASE,FULL_SHARPE_ROLL756,-0.05551575340000194,-0.00858027035062915,-0.006489154294189358,0.06520082195669284,-0.09952565166278933,-0.1917031795439405,1604,0.2367107906390006,139,776.55068,2226.399999999996,False,5.638867150992155e-11,-0.04483774199624613,False
BASE,FULL_MEANVAR_EXPANDING,0.15435965430000134,0.02189337448387464,0.026279182103808193,0.09619369643509697,0.2731902721041505,-0.2824309277923134,1604,0.5047751161306708,84,452.66913999999997,1293.7000000000007,False,5.275069270282984e-11,-0.014364097161742338,False
BASE,FULL_MEANVAR_ROLL756,-0.016447485300000828,-0.0024989843825403177,0.0010092807153102954,0.08375927957516177,0.01204977789242579,-0.25214781603196024,1604,0.4094860996459607,100,544.89706,1496.8000000000088,False,4.4645176444646495e-11,-0.03875645602815729,False
BASE,U1_PRIMARY_FULL_SHARPE,0.06252373199999992,0.009191966400100322,0.011153653994640862,0.06332494560252346,0.17613365299434852,-0.2073376833674832,1604,0.2950418965478866,126,684.8535999999999,2015.3999999999637,False,5.502442945726216e-11,-0.027065505245516652,False
BASE,U2_PRICE_SHARPE,-0.03260444990000168,-0.004988620076588813,-0.002990573144880814,0.06336474877662779,-0.04719616510156342,-0.22943612185986437,1604,0.30186939013985153,93,501.88998,1410.4000000000058,False,4.409272946759302e-11,-0.04124609172220579,False
BASE,U3_FULL_MEANVAR,0.07394571849999436,0.010821315803556901,0.014532796298746344,0.08681730849620128,0.1673951490834599,-0.2733798143305295,1604,0.45482076389931847,68,374.95630000000006,1063.2999999999963,False,5.3887561080046e-11,-0.025436155842060076,False
BASE,U4_PRICE_MEANVAR,0.0673566709999983,0.009883192792653634,0.013435412282684987,0.08484871177731715,0.15834550697653274,-0.2543284872330414,1604,0.44045179927913236,42,242.5658,692.3000000000065,False,4.098410499864258e-11,-0.02637427885296334,False
BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,PRICE_SHARPE_EXPANDING,0.04917241700000163,0.007268436373877205,0.01004326719321632,0.07484138656751022,0.13419402891683269,-0.22506422877732365,1604,0.3956882519154488,153,1504.9166,4189.2999999999865,False,5.275069270282984e-11,-0.028816508139865443,False
STRESS,PRICE_SHARPE_ROLL756,-0.16554245359999922,-0.026934584554849227,-0.025440440547150434,0.06094667596545612,-0.4174212972922393,-0.2469808687808208,1604,0.22329929927416517,98,925.39072,2562.3999999999933,False,3.97051280742744e-11,-0.06301952906859187,False
