ts_code,trade_time,vol,amount,low,high,bar_vwap
510300.SH,2017-01-04 14:46:00,177500,607242,3.419,3.42,3.421081690140845
510300.SH,2017-01-09 10:30:00,0,0,3.404,3.404,
510300.SH,2017-01-09 14:14:00,0,0,3.419,3.419,
510300.SH,2017-01-09 14:27:00,0,0,3.416,3.416,
510300.SH,2017-01-10 13:41:00,0,0,3.42,3.42,
510300.SH,2017-01-10 13:56:00,0,0,3.418,3.418,
510300.SH,2017-01-10 14:43:00,100,341,3.416,3.416,3.41
510300.SH,2017-01-12 10:37:00,200,677,3.387,3.387,3.385
510300.SH,2017-01-12 11:16:00,0,0,3.392,3.392,
510300.SH,2017-01-12 11:21:00,0,0,3.393,3.393,
510300.SH,2017-01-13 13:50:00,100,338,3.378,3.378,3.38
510300.SH,2017-01-13 14:14:00,0,0,3.378,3.378,
510300.SH,2017-02-07 10:07:00,5300,17839,3.367,3.367,3.3658490566037735
510300.SH,2017-02-07 14:26:00,200,672,3.357,3.357,3.36
510300.SH,2017-02-10 11:14:00,0,0,3.401,3.401,
510300.SH,2017-02-10 13:09:00,0,0,3.403,3.403,
510300.SH,2017-02-22 11:29:00,200,695,3.479,3.479,3.475
510300.SH,2017-02-24 13:04:00,0,0,3.461,3.461,
510300.SH,2017-02-24 13:16:00,0,0,3.458,3.458,
510300.SH,2017-02-24 13:51:00,200,691,3.458,3.458,3.455
510300.SH,2017-02-28 13:01:00,381100,1313113,3.447,3.448,3.4455864602466546
510300.SH,2017-02-28 13:39:00,0,0,3.442,3.442,
510300.SH,2017-03-02 10:39:00,277100,955674,3.447,3.447,3.4488415734391915
510300.SH,2017-03-03 13:03:00,0,0,3.42,3.42,
510300.SH,2017-03-03 14:58:00,645400,2208351,3.423,3.424,3.421678029129222
510300.SH,2017-03-07 10:29:00,0,0,3.44,3.44,
510300.SH,2017-03-07 10:42:00,0,0,3.441,3.441,
510300.SH,2017-03-07 10:54:00,200,688,3.442,3.442,3.44
510300.SH,2017-03-07 11:08:00,200,687,3.438,3.438,3.435
510300.SH,2017-03-07 11:28:00,0,0,3.439,3.439,
510300.SH,2017-03-07 11:30:00,0,0,3.437,3.437,
510300.SH,2017-03-07 13:44:00,0,0,3.438,3.438,
510300.SH,2017-03-07 13:45:00,0,0,3.438,3.438,
510300.SH,2017-03-07 13:49:00,19,65,3.438,3.438,3.4210526315789473
510300.SH,2017-03-08 10:09:00,0,0,3.444,3.444,
510300.SH,2017-03-08 11:09:00,0,0,3.445,3.445,
510300.SH,2017-03-09 13:11:00,0,0,3.422,3.422,
510300.SH,2017-03-16 13:17:00,0,0,3.479,3.479,
510300.SH,2017-03-16 14:14:00,0,0,3.478,3.478,
510300.SH,2017-03-22 13:08:00,0,0,3.438,3.438,
510300.SH,2017-03-22 13:12:00,0,0,3.438,3.438,
510300.SH,2017-03-22 13:13:00,0,0,3.438,3.438,
510300.SH,2017-03-22 13:27:00,0,0,3.438,3.438,
510300.SH,2017-03-22 14:08:00,0,0,3.44,3.44,
510300.SH,2017-03-24 13:18:00,100,346,3.458,3.458,3.46
510300.SH,2017-03-27 13:33:00,0,0,3.484,3.484,
510300.SH,2017-03-27 13:48:00,200,695,3.478,3.478,3.475
510300.SH,2017-03-27 13:59:00,0,0,3.48,3.48,
510300.SH,2017-03-29 10:15:00,551700,1905783,3.456,3.457,3.454382816748233
510300.SH,2017-04-06 11:02:00,0,0,3.497,3.497,
510300.SH,2017-04-10 14:49:00,1208900,4238002,3.503,3.504,3.5056679626106377
510300.SH,2017-04-12 11:17:00,0,0,3.508,3.508,
510300.SH,2017-04-12 11:20:00,0,0,3.509,3.509,
510300.SH,2017-04-12 11:25:00,0,0,3.509,3.509,
510300.SH,2017-04-14 13:19:00,0,0,3.49,3.49,
510300.SH,2017-04-14 13:51:00,0,0,3.491,3.491,
510300.SH,2017-04-18 13:05:00,300,1043,3.478,3.478,3.4766666666666666
510300.SH,2017-04-18 13:08:00,200,695,3.478,3.478,3.475
510300.SH,2017-04-18 13:55:00,0,0,3.477,3.477,
510300.SH,2017-04-25 11:16:00,0,0,3.438,3.438,
510300.SH,2017-05-02 10:33:00,0,0,3.428,3.428,
510300.SH,2017-05-02 13:16:00,0,0,3.421,3.421,
510300.SH,2017-05-09 13:18:00,0,0,3.344,3.344,
510300.SH,2017-05-16 10:56:00,600000,2031180,3.388,3.388,3.3853
510300.SH,2017-05-17 14:29:00,100,342,3.416,3.416,3.42
510300.SH,2017-05-18 11:14:00,100,340,3.408,3.408,3.4
510300.SH,2017-05-18 13:42:00,0,0,3.398,3.398,
510300.SH,2017-05-19 10:34:00,100,340,3.403,3.403,3.4
510300.SH,2017-05-19 10:35:00,0,0,3.403,3.403,
510300.SH,2017-05-19 10:54:00,0,0,3.4,3.4,
510300.SH,2017-05-19 10:55:00,82,278,3.399,3.399,3.3902439024390243
510300.SH,2017-05-19 10:57:00,0,0,3.4,3.4,
510300.SH,2017-05-19 11:13:00,0,0,3.402,3.402,
510300.SH,2017-05-19 11:14:00,0,0,3.402,3.402,
510300.SH,2017-05-19 11:29:00,400,1359,3.399,3.399,3.3975
510300.SH,2017-05-19 14:21:00,0,0,3.403,3.403,
510300.SH,2017-05-19 14:33:00,0,0,3.403,3.403,
510300.SH,2017-05-22 11:12:00,0,0,3.408,3.408,
510300.SH,2017-05-22 11:17:00,0,0,3.406,3.406,
510300.SH,2017-06-01 10:56:00,200,697,3.488,3.488,3.485
510300.SH,2017-06-01 11:04:00,0,0,3.487,3.487,
510300.SH,2017-06-01 11:06:00,0,0,3.489,3.489,
510300.SH,2017-06-01 11:10:00,0,0,3.489,3.489,
510300.SH,2017-06-01 11:21:00,0,0,3.489,3.489,
510300.SH,2017-06-01 14:17:00,0,0,3.495,3.495,
510300.SH,2017-06-05 13:34:00,0,0,3.469,3.469,
510300.SH,2017-06-06 13:03:00,400,1388,3.472,3.472,3.47
510300.SH,2017-06-06 13:07:00,0,0,3.472,3.472,
510300.SH,2017-06-06 13:21:00,0,0,3.474,3.474,
510300.SH,2017-06-13 10:41:00,737000,2635523,3.575,3.575,3.5760149253731344
510300.SH,2017-06-30 11:23:00,0,0,3.675,3.675,
510300.SH,2017-06-30 13:24:00,200,736,3.677,3.677,3.68
510300.SH,2017-06-30 13:27:00,100,368,3.677,3.677,3.68
510300.SH,2017-06-30 13:30:00,200,736,3.678,3.678,3.68
510300.SH,2017-07-03 10:04:00,0,0,3.674,3.674,
510300.SH,2017-07-03 13:14:00,0,0,3.669,3.669,
510300.SH,2017-07-04 14:14:00,0,0,3.637,3.637,
510300.SH,2017-07-07 13:08:00,0,0,3.669,3.669,
510300.SH,2017-07-14 10:17:00,0,0,3.726,3.726,
510300.SH,2017-07-14 10:32:00,0,0,3.728,3.728,
510300.SH,2017-07-14 10:39:00,0,0,3.725,3.725,
510300.SH,2017-07-14 13:02:00,0,0,3.728,3.728,
510300.SH,2017-07-14 14:00:00,100,374,3.738,3.738,3.74
510300.SH,2017-07-20 13:04:00,0,0,3.784,3.784,
510300.SH,2017-07-20 13:05:00,300,1136,3.785,3.785,3.7866666666666666
510300.SH,2017-07-20 13:11:00,0,0,3.784,3.784,
510300.SH,2017-07-24 10:33:00,100,379,3.795,3.799,3.79
510300.SH,2017-07-24 13:33:00,0,0,3.795,3.795,
510300.SH,2017-07-24 13:36:00,0,0,3.796,3.796,
510300.SH,2017-07-24 13:52:00,0,0,3.796,3.796,
510300.SH,2017-07-24 14:33:00,0,0,3.804,3.804,
510300.SH,2017-07-28 13:14:00,53300,200790,3.769,3.769,3.767166979362101
510300.SH,2017-07-28 13:17:00,0,0,3.768,3.768,
510300.SH,2017-07-28 13:32:00,0,0,3.769,3.769,
510300.SH,2017-08-02 14:30:00,296000,1131619,3.821,3.822,3.823037162162162
510300.SH,2017-08-03 11:16:00,0,0,3.802,3.802,
510300.SH,2017-08-04 11:19:00,0,0,3.782,3.782,
510300.SH,2017-08-04 13:50:00,0,0,3.788,3.788,
510300.SH,2017-08-04 13:59:00,100,379,3.787,3.787,3.79
510300.SH,2017-08-04 14:00:00,0,0,3.787,3.787,
510300.SH,2017-08-08 10:43:00,0,0,3.78,3.78,
510300.SH,2017-08-08 11:06:00,400,1512,3.778,3.778,3.78
510300.SH,2017-08-09 10:18:00,200,755,3.779,3.779,3.775
510300.SH,2017-08-10 10:11:00,500,1899,3.796,3.796,3.798
510300.SH,2017-08-10 10:41:00,0,0,3.791,3.791,
510300.SH,2017-08-10 13:39:00,719500,2703684,3.759,3.76,3.7577261987491313
510300.SH,2017-08-17 10:17:00,0,0,3.764,3.764,
510300.SH,2017-08-17 10:19:00,100,377,3.764,3.764,3.77
510300.SH,2017-08-17 10:53:00,0,0,3.759,3.759,
510300.SH,2017-08-17 11:18:00,0,0,3.758,3.758,
