period,cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,terminal_equity,mean_exposure,trade_count,commission,slippage_cost,holding_closes,risk_days,max_accounting_error,point_met
earlier,BASE,BRIDGE_H2_P0,2017-2019_SOURCE_SUBPERIOD,-0.2005445802097799,-0.0714191756385276,-0.05958539862237,0.1704260021542162,-0.3496262182366514,-0.3852883820442344,731,130959.73747999994,0.4978534840275309,731,22010.044780000004,64764.59999999995,365,731,4.020250798930647e-11,False
earlier,BASE,BRIDGE_H2_P1,2017-2019_SOURCE_SUBPERIOD,-0.200124669514182,-0.0712577382572571,-0.0594138906268222,0.170413296308298,-0.3486458622297603,-0.3850859753530755,731,120052.31707999976,0.4977977893188499,731,20168.46864,59345.49999999995,365,731,3.942091097997036e-11,False
earlier,BASE,BRIDGE_H5_P0,2017-2019_SOURCE_SUBPERIOD,0.1285865735862019,0.0408588708001136,0.05591766234571,0.1782949471451322,0.3136244926794982,-0.3221343988913769,731,194028.38603999987,0.7966037300475671,293,10824.193200000002,31720.29999999963,584,731,3.623767952376511e-11,False
earlier,BASE,BRIDGE_H5_P1,2017-2019_SOURCE_SUBPERIOD,0.0317542275862178,0.0104026239950907,0.0258665813052618,0.1763620986955107,0.1466674614136938,-0.3575192992462549,731,176912.6891200001,0.7965821883615631,293,10166.67056,30059.9,584,731,3.572608875401784e-11,False
earlier,BASE,GAP_DIRECT_H1_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0564297335000003,-0.019045350578147,-0.0173891555402229,0.0606346932249149,-0.2867855779482637,-0.1058117387994316,731,188714.0532999999,0.0927490175897466,234,2535.0467,6785.200000000012,173,234,4.014921728412446e-11,False
earlier,BASE,GAP_DIRECT_H1_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.058241466699999,-0.0196692951839165,-0.0192209833100913,0.0358384839130697,-0.5363224447974407,-0.0936791760894024,731,188351.70666000005,0.05604439487612,214,1900.29334,4919.700000000029,149,214,3.787192781601334e-11,False
earlier,BASE,GAP_DIRECT_H3_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0871574524999985,-0.0297382262201801,-0.0274662527281548,0.0737679736192527,-0.3723330244899994,-0.1518632882123359,731,182568.50950000025,0.1493918796512814,203,2171.9905,5760.500000000074,253,305,4.099831585335778e-11,False
earlier,BASE,GAP_DIRECT_H3_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0977724486000002,-0.0334880229392777,-0.03318184761461,0.0418412911013513,-0.793040719853368,-0.1254869128091582,731,180445.51028000005,0.0942449365164024,187,1615.88972,4168.600000000055,241,297,3.75734998669941e-11,False
earlier,BASE,GAP_ABSORBED_H1_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0201828601999993,-0.0067272218992736,-0.0065167207569413,0.02158718341388,-0.3018791582023271,-0.0371858850048691,731,195963.42796000003,0.0159351432805506,109,887.9720400000001,1954.999999999986,67,109,3.6180836104904295e-11,False
earlier,BASE,GAP_ABSORBED_H1_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0186111141999995,-0.0062000272612485,-0.0060925149762376,0.0159127879038601,-0.3828691121283475,-0.0316862378151071,731,196277.77716,0.0121048311962392,104,764.2228400000001,1611.6999999999805,62,104,3.126032765976561e-11,False
earlier,BASE,GAP_ABSORBED_H3_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0236778581999996,-0.0079015441310531,-0.0075187005595617,0.028794737202402,-0.2611137065329606,-0.0428528110527796,731,195264.42836000005,0.0398535013990398,103,821.4716400000001,1838.1999999999985,138,175,3.68345354218036e-11,False
earlier,BASE,GAP_ABSORBED_H3_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0322859366000002,-0.010805907745724,-0.0106709053209916,0.0196722213192041,-0.5424352007759625,-0.0514222260194636,731,193542.81268,0.030409313874819,98,702.38732,1515.3999999999946,133,170,3.329958531139709e-11,False
earlier,BASE,BUY_HOLD,2017-2019_SOURCE_SUBPERIOD,0.269533641616359,0.0822105524657055,0.093544476318884,0.1705912566334184,0.5483544594545113,-0.2999091692176733,731,242462.19424,0.9491602266014734,1,45.05128,166.2000000000063,730,731,2.7284841053187847e-11,False
earlier,STRESS,BRIDGE_H2_P0,2017-2019_SOURCE_SUBPERIOD,-0.5344425347231269,-0.2236072942761273,-0.2385039228821276,0.1701225968817486,-1.4019532222865752,-0.5581916446041711,731,53931.32920000045,0.4973226849121829,731,24373.44616,68936.99999999997,365,731,2.0392576516314875e-11,False
earlier,STRESS,BRIDGE_H2_P1,2017-2019_SOURCE_SUBPERIOD,-0.5345339524451861,-0.2236577679667703,-0.2385799665240812,0.1700558361571591,-1.4029507714371805,-0.5582575794661461,731,49502.42896000063,0.4971903518958957,731,22372.71768,63278.39999999999,365,731,1.8474111129762605e-11,False
earlier,STRESS,BRIDGE_H5_P0,2017-2019_SOURCE_SUBPERIOD,-0.0918921300590747,-0.0314071495846466,-0.0159945552039921,0.1785344224939632,-0.0895880748404859,-0.3678439147569048,731,134573.55599999992,0.7963223473203462,293,16762.10108,47232.19999999979,584,731,3.296918293926865e-11,False
earlier,STRESS,BRIDGE_H5_P1,2017-2019_SOURCE_SUBPERIOD,-0.1334834308499093,-0.0463240628956744,-0.0323220476641452,0.1739981561856388,-0.1857608630614499,-0.4144276073180871,731,125000.81064000048,0.7962370729877146,293,15583.577680000002,44075.30000000007,584,731,3.726086106325965e-11,False
earlier,STRESS,GAP_DIRECT_H1_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0970013546000009,-0.0332146393997793,-0.0319267925399208,0.0607808679066908,-0.5252770096822904,-0.1272275993641475,731,180599.72907999984,0.0925120784223281,232,4651.37092,12911.900000000078,171,232,3.7118752516107634e-11,False
earlier,STRESS,GAP_DIRECT_H1_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0873129813999991,-0.029792956401557,-0.0295876008181336,0.0361843192817407,-0.8176912376810732,-0.1137740945750932,731,182537.4037199999,0.0560705699168885,214,3420.9962800000003,9388.600000000086,149,214,3.387867764104158e-11,False
earlier,STRESS,GAP_DIRECT_H3_FULL,2017-2019_SOURCE_SUBPERIOD,-0.1226254134000013,-0.0423843816299568,-0.0405881197805859,0.0736847813247083,-0.550834501384016,-0.1666442464941086,731,175474.91732,0.1497001062639639,203,3982.88268,10980.8000000001,253,305,4.5567105644295225e-11,False
earlier,STRESS,GAP_DIRECT_H3_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.122120485399999,-0.0422019710453659,-0.0422239532981758,0.0421500872705407,-1.0017524525432415,-0.1429220894582166,731,175575.90292000002,0.0944655548037465,186,2903.0970800000005,7937.000000000089,240,296,4.5567105644295225e-11,False
earlier,STRESS,GAP_ABSORBED_H1_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0321371200000003,-0.0107555505553015,-0.0105747491320933,0.0218403385692517,-0.4841843041289289,-0.0437902587227481,731,193572.576,0.0160244863637759,109,1470.024,3763.799999999974,67,109,3.387867764104158e-11,False
earlier,STRESS,GAP_ABSORBED_H1_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0284170551999997,-0.0094984188016738,-0.0094135633239904,0.0161163460962849,-0.5841003455591223,-0.0387933413011546,731,194316.58896,0.0121407886397131,104,1233.01104,3097.5999999999776,62,104,2.5494273359072395e-11,False
earlier,STRESS,GAP_ABSORBED_H3_FULL,2017-2019_SOURCE_SUBPERIOD,-0.0351700589999998,-0.0117828740063321,-0.0114348139632298,0.0289136856877578,-0.395481021918675,-0.0510235087064911,731,192965.9882,0.0400817369039954,103,1379.5118,3578.5999999999885,138,175,3.510081114654895e-11,False
earlier,STRESS,GAP_ABSORBED_H3_VOL10,2017-2019_SOURCE_SUBPERIOD,-0.0415705316000006,-0.0139579666271708,-0.0138598792795827,0.0197938269061511,-0.7002122098620355,-0.0574029365818809,731,191685.89368000004,0.0304956240706746,98,1142.30632,2928.999999999988,133,170,3.510081114654895e-11,False
earlier,STRESS,BUY_HOLD,2017-2019_SOURCE_SUBPERIOD,0.2689301781837147,0.0820402246569283,0.0934083316994869,0.1707164598406872,0.5471548073727376,-0.300087464144295,731,242155.58848,0.9498275970063632,1,90.05824000000001,276.9999999999941,730,731,2.7284841053187847e-11,False
main,BASE,BRIDGE_H2_P0,2020-2021,-0.0407743404999996,-0.0205154412285614,-0.0034169050847831,0.1860738477849394,-0.0183631666967639,-0.199509027823155,486,191845.13189999992,0.4984375590416747,486,20012.7681,59744.90000000019,243,486,3.797140379901976e-11,False
main,BASE,BRIDGE_H2_P0,2022-2023,-0.5426656492606066,-0.3237349996196805,-0.3787904678015694,0.1553366896465895,-2.438512554010037,-0.5583525513476957,484,87737.3688399997,0.4982912014152579,484,12963.86306,40532.199999999975,242,484,3.993250174971763e-11,False
main,BASE,BRIDGE_H2_P0,2024-END,0.0882632299370844,0.0328124828748091,0.045977245076403,0.1658846531048395,0.2771639462473078,-0.2039584896790049,634,95481.3523999993,0.4977324337095267,634,11517.01644,35714.50000000022,317,634,1.943334382303874e-11,False
main,BASE,BRIDGE_H2_P1,2020-2021,-0.1375949931000003,-0.0710594609040758,-0.0540713982403233,0.1978837394686461,-0.2732483143158447,-0.2667035851282066,486,172481.00137999986,0.4984838084711235,485,18727.69862,56194.70000000039,243,485,3.8312464312184596e-11,False
main,BASE,BRIDGE_H2_P1,2022-2023,-0.4321962493467073,-0.246472461914435,-0.2698290230840136,0.1613914380815687,-1.6718918072199065,-0.4526539426101301,484,97935.35949999955,0.4982625266269381,484,12232.54188,37957.29999999997,242,484,4.069988790433854e-11,False
main,BASE,BRIDGE_H2_P1,2024-END,0.0493515737796416,0.018557674149537,0.032635338192024,0.1695436793863335,0.1924892647732325,-0.2037557189990135,634,102768.6236199995,0.4962822746650272,633,12522.73588,38788.10000000026,316,633,2.069100446533412e-11,False
main,BASE,BRIDGE_H5_P0,2020-2021,0.0674081296000004,0.03301578987019,0.0525720346845642,0.2000449001803346,0.2628011743222252,-0.1992713884723593,486,213481.62591999976,0.7980590199183,195,8509.574079999999,25491.099999999977,389,486,3.3367086871294305e-11,False
main,BASE,BRIDGE_H5_P0,2022-2023,-0.3259907288980431,-0.1790193235514267,-0.1837485137924068,0.1640720759492115,-1.1199255737416651,-0.3496430516599665,484,143888.5950799996,0.7968275445821146,193,6639.3308400000005,20537.0,387,484,3.949196525354637e-11,False
main,BASE,BRIDGE_H5_P0,2024-END,0.1198616353882064,0.0441579738276495,0.0590067594765341,0.1775564092078243,0.3323268348340417,-0.1981273745677935,634,161135.31739999968,0.7971749709969818,254,7916.17768,24357.49999999997,507,634,4.0586201066616916e-11,False
main,BASE,BRIDGE_H5_P1,2020-2021,0.1341149360999989,0.0646725866331318,0.0812092116710473,0.1927817664056119,0.4212494427516737,-0.2146771217163285,486,226822.98721999975,0.795227542529068,194,8922.512780000001,26432.20000000023,388,485,5.897504706808832e-11,False
main,BASE,BRIDGE_H5_P1,2022-2023,-0.4006785821573305,-0.2258414775753808,-0.2419489324566954,0.1668112884057646,-1.4504350081402175,-0.4223404726924129,484,135939.87429999988,0.7992508154353469,193,6754.81292,21217.09999999981,388,484,3.8198777474462986e-11,False
main,BASE,BRIDGE_H5_P1,2024-END,0.3484291590226969,0.1208715596369594,0.1290066254705649,0.1732561045548655,0.744600750444046,-0.1307856531620315,634,183305.29037999987,0.7930745352362942,255,8064.483920000001,25282.19999999992,505,633,4.142464149481384e-11,False
main,BASE,GAP_DIRECT_H1_FULL,2020-2021,-0.1291028759000013,-0.0665158394552677,-0.0644921981292792,0.0928526220192181,-0.6945651800326225,-0.2048250435315511,486,174179.42482,0.1216300811006159,133,2996.87518,9048.399999999956,91,133,3.1079139262146776e-11,False
main,BASE,GAP_DIRECT_H1_FULL,2022-2023,0.0193393574670548,0.0096233740692886,0.0143238309426289,0.0974984601039684,0.1469134069128327,-0.1798261879311218,484,177547.94298000002,0.124470166208343,147,3174.5818400000003,9418.200000000032,94,147,3.389288849575678e-11,False
main,BASE,GAP_DIRECT_H1_FULL,2024-END,-0.0959018966607698,-0.0377513142197936,-0.0341689516164476,0.0923446339660172,-0.37001556180321,-0.1747709411945579,634,160520.75849999994,0.1267005113667321,172,5045.08448,15548.400000000169,99,172,4.4920511754753534e-11,False
main,BASE,GAP_DIRECT_H1_VOL10,2020-2021,-0.0868646459000002,-0.0442401505430611,-0.0440934363016369,0.0479287614987506,-0.9199786291741828,-0.104177986847025,486,182627.0708200001,0.0637268353801308,116,1822.52918,5446.099999999955,71,116,4.5332626541494385e-11,False
main,BASE,GAP_DIRECT_H1_VOL10,2022-2023,0.016267639439545,0.0081010065660806,0.0098361777563606,0.0595665157655461,0.1651293118280729,-0.1013329230011223,484,185597.98216000013,0.0790924994543191,135,2408.98866,7200.600000000035,79,135,4.196465397399152e-11,False
main,BASE,GAP_DIRECT_H1_VOL10,2024-END,-0.0756539228314201,-0.0295817638858553,-0.0281434642697861,0.0611040511621582,-0.4605826247935484,-0.116111795063494,634,171556.76674000017,0.090928341273226,170,3839.71542,11800.900000000142,94,170,3.89945853385143e-11,False
