period,cost,model,windows,cagr_min,cagr_median,sharpe_min,sharpe_median,joint_pass_fraction,independent_windows
earlier,STRESS,GAP_DIRECT_H3_FULL,494,-0.056720495321116525,-0.04036790037622372,-1.1606384320661591,-0.6385484135612522,0.0,False
earlier,STRESS,GAP_DIRECT_H3_VOL10,494,-0.04785369513104434,-0.03502464043157688,-1.1811211494455494,-0.9840930200084037,0.0,False
main,BASE,BRIDGE_H2_P0,879,-0.29526052506751166,-0.19141697314132355,-2.102704514459681,-1.2207920483071688,0.0,False
main,BASE,BRIDGE_H2_P1,879,-0.25887642844923753,-0.1370688732200387,-1.7291996657316955,-0.7459389224491819,0.0,False
main,BASE,BRIDGE_H5_P0,879,-0.19430569274701381,-0.07203555565631799,-1.2004971123823818,-0.3405801967277479,0.0,False
main,BASE,BRIDGE_H5_P1,879,-0.2248621612369649,-0.0833420635364792,-1.4257751405343984,-0.41760086648735006,0.0,False
main,BASE,BUY_HOLD,879,-0.15106040602442788,-0.010301971035243966,-0.9110446328978038,0.022037008078225916,0.0,False
main,BASE,GAP_ABSORBED_H1_FULL,879,-0.037289352032514184,-0.00774456439285987,-0.9100183436337571,-0.14632296259464844,0.0,False
main,BASE,GAP_ABSORBED_H1_VOL10,879,-0.03316115517329392,-0.010907700848377624,-1.1645920559442766,-0.2806626714225286,0.0,False
main,BASE,GAP_ABSORBED_H3_FULL,879,-0.044374404227382154,-0.01126899115455183,-0.8544898235699588,-0.1533102006718361,0.0,False
main,BASE,GAP_ABSORBED_H3_VOL10,879,-0.03834415415038441,-0.017395273403216446,-1.0290987242445677,-0.4112706846685595,0.0,False
main,BASE,GAP_DIRECT_H1_FULL,879,-0.08780440413977302,0.008300264795525788,-0.8978726369739287,0.13829151299789103,0.0,False
main,BASE,GAP_DIRECT_H1_VOL10,879,-0.055029943724597054,0.0018388842815268954,-1.0353459760915615,0.06071687075863435,0.0,False
main,BASE,GAP_DIRECT_H3_FULL,879,-0.11763521747636382,-0.049556648469832106,-0.8854128560676717,-0.5014660999983073,0.0,False
main,BASE,GAP_DIRECT_H3_VOL10,879,-0.07140657818465543,-0.03909134902857357,-0.9629548768605016,-0.5961279645803569,0.0,False
main,STRESS,BRIDGE_H2_P0,879,-0.405566193090208,-0.3201309092605177,-3.219122961926043,-2.271915770368179,0.0,False
main,STRESS,BRIDGE_H2_P1,879,-0.3743160998265739,-0.2712368678083343,-2.7570100534137243,-1.7819306149527665,0.0,False
main,STRESS,BRIDGE_H5_P0,879,-0.24732720548331075,-0.13407271294408352,-1.606054928280974,-0.735610764932899,0.0,False
main,STRESS,BRIDGE_H5_P1,879,-0.2762580696625868,-0.14480929548118857,-1.8275382103416364,-0.8179579816697846,0.0,False
main,STRESS,BUY_HOLD,879,-0.1511492739352894,-0.01030863941259382,-0.9110031580239658,0.022096774822473398,0.0,False
main,STRESS,GAP_ABSORBED_H1_FULL,879,-0.04623676613372375,-0.019984586633210514,-1.121724026764838,-0.40561731345757296,0.0,False
main,STRESS,GAP_ABSORBED_H1_VOL10,879,-0.039994130115343814,-0.02018783398315314,-1.3884623089199126,-0.5607488672132763,0.0,False
main,STRESS,GAP_ABSORBED_H3_FULL,879,-0.052277248964220244,-0.022661177360017402,-1.006632637080242,-0.33075521168508965,0.0,False
main,STRESS,GAP_ABSORBED_H3_VOL10,879,-0.04415805146944872,-0.025444260986379297,-1.183842443248513,-0.5865450042216906,0.0,False
main,STRESS,GAP_DIRECT_H1_FULL,879,-0.11226383898873565,-0.025171542243259463,-1.1643412041799541,-0.25484796075437577,0.0,False
main,STRESS,GAP_DIRECT_H1_VOL10,879,-0.07458441797154929,-0.024828596063729814,-1.4187037132748372,-0.4028756769875444,0.0,False
main,STRESS,GAP_DIRECT_H3_FULL,879,-0.1273794977936577,-0.06113290912000261,-0.9545956899633278,-0.6039993544474037,0.0,False
main,STRESS,GAP_DIRECT_H3_VOL10,879,-0.08530159862837473,-0.05564908318560789,-1.2737104982148322,-0.854239077787889,0.0,False
