period,cost,model,windows,cagr_min,cagr_median,sharpe_min,sharpe_median,joint_pass_fraction,independent_windows
earlier,BASE,BRIDGE_H2_P0,494,-0.17883986414669173,-0.08310032567448183,-0.8236191471215479,-0.39619619304094833,0.0,False
earlier,BASE,BRIDGE_H2_P1,494,-0.17878760595786955,-0.08296261145562725,-0.8235548946025056,-0.3956000234143041,0.0,False
earlier,BASE,BRIDGE_H5_P0,494,-0.14854049536934236,0.006430256104426754,-0.4779359467887932,0.1391667104399319,0.0,False
earlier,BASE,BRIDGE_H5_P1,494,-0.14222373551450485,-0.014045598160191321,-0.4932800762975561,0.026067416558389983,0.0,False
earlier,BASE,BUY_HOLD,494,-0.09836064296796634,0.0477778164687975,-0.2593112958658714,0.3393326961842532,0.0,False
earlier,BASE,GAP_ABSORBED_H1_FULL,494,-0.01202973465683791,-0.0021938968970518706,-0.6641799838969201,-0.32749750303525993,0.0,False
earlier,BASE,GAP_ABSORBED_H1_VOL10,494,-0.01015219150711533,-0.0027301039848539417,-0.6721367668896003,-0.3966053598146158,0.0,False
earlier,BASE,GAP_ABSORBED_H3_FULL,494,-0.013013400765758751,-0.004319571095261249,-0.8314228839172092,-0.2754145645674576,0.0,False
earlier,BASE,GAP_ABSORBED_H3_VOL10,494,-0.015967758447039487,-0.007438539913251569,-0.8547056723556773,-0.5364790960758817,0.0,False
earlier,BASE,GAP_DIRECT_H1_FULL,494,-0.027035362794859966,-0.014014956731203584,-0.4902198727099687,-0.26757000258267627,0.0,False
earlier,BASE,GAP_DIRECT_H1_VOL10,494,-0.023016545054270428,-0.013195216892616492,-0.6344944621457205,-0.4027032625775316,0.0,False
earlier,BASE,GAP_DIRECT_H3_FULL,494,-0.050169107478330616,-0.029494397712557543,-1.0334309505813595,-0.49624585274816324,0.0,False
earlier,BASE,GAP_DIRECT_H3_VOL10,494,-0.04042312291641127,-0.028625604122873315,-0.9976808617575244,-0.8179982080961513,0.0,False
earlier,STRESS,BRIDGE_H2_P0,494,-0.309828701087506,-0.23486942151299683,-1.8852330029247732,-1.40206384108911,0.0,False
earlier,STRESS,BRIDGE_H2_P1,494,-0.3096822594152015,-0.23483783537052016,-1.8850679360044147,-1.4028958673885714,0.0,False
earlier,STRESS,BRIDGE_H5_P0,494,-0.2082675422820111,-0.0647185302076414,-0.8114658813470269,-0.234885240681811,0.0,False
earlier,STRESS,BRIDGE_H5_P1,494,-0.20078517515329197,-0.08248429123077891,-1.0229941119406973,-0.37551023305856507,0.0,False
earlier,STRESS,BUY_HOLD,494,-0.09841643567432212,0.04781426791671244,-0.25916338673012523,0.3391823991013873,0.0,False
earlier,STRESS,GAP_ABSORBED_H1_FULL,494,-0.01470250266952005,-0.004111245509752092,-0.797406735351791,-0.48131202007041096,0.0,False
earlier,STRESS,GAP_ABSORBED_H1_VOL10,494,-0.012989176055662235,-0.004427639188991535,-0.845306322108209,-0.6190983145791212,0.0,False
earlier,STRESS,GAP_ABSORBED_H3_FULL,494,-0.01622619370061397,-0.00607964619233135,-0.9359111059502329,-0.3937801372792542,0.0,False
earlier,STRESS,GAP_ABSORBED_H3_VOL10,494,-0.01843560211384466,-0.008984230540154901,-0.9821577077462388,-0.644765740465359,0.0,False
earlier,STRESS,GAP_DIRECT_H1_FULL,494,-0.03741445313799736,-0.022689798795950795,-0.6882133233320143,-0.4531218841382996,0.0,False
earlier,STRESS,GAP_DIRECT_H1_VOL10,494,-0.03280783509496234,-0.020582756921644848,-0.9071839935502571,-0.633706257137647,0.0,False
