period,cost,model,same_quantity_path,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
earlier,STRESS,BRIDGE_H5_P1,True,0.1846255000000018,0.0342072170095928,0.0555302155617035,0.2082917951369036,0.2665981899344872,-0.3899883384628989
earlier,STRESS,GAP_DIRECT_H1_FULL,True,-0.0091850000000004,-0.001830186175681,-0.0008359303415228,0.0446262556283815,-0.0187318055201381,-0.0795945428237033
earlier,STRESS,GAP_DIRECT_H1_VOL10,True,-0.023265,-0.0046623184414752,-0.0043139131445027,0.0267786161011289,-0.1610954475097327,-0.0720684561648574
earlier,STRESS,GAP_DIRECT_H3_FULL,True,-0.0478069999999995,-0.0096780342026943,-0.0082384309500926,0.0545172139018602,-0.1511161403978405,-0.1332566978570107
earlier,STRESS,GAP_DIRECT_H3_VOL10,True,-0.0679199999999996,-0.0138664287203944,-0.0134685906473145,0.0314059504137653,-0.4288547383495568,-0.1058312317603386
earlier,STRESS,GAP_ABSORBED_H1_FULL,True,-0.0059680000000002,-0.0011876312733286,-0.0010512647727317,0.0165544192776712,-0.0635035729794356,-0.0337967857137545
earlier,STRESS,GAP_ABSORBED_H1_VOL10,True,-0.0067639999999991,-0.0013464668138924,-0.0012735591618068,0.012144028111044,-0.1048712297239058,-0.0239281900268582
earlier,STRESS,GAP_ABSORBED_H3_FULL,True,-0.0103794999999996,-0.0020691981124205,-0.0018250685350768,0.0222051563109618,-0.0821912041292824,-0.0338012954670578
earlier,STRESS,GAP_ABSORBED_H3_VOL10,True,-0.0212140000000001,-0.0042477408082955,-0.0041428867437963,0.0150853131889381,-0.274630476139819,-0.0444534214203238
earlier,STRESS,BUY_HOLD,True,0.2141210000000001,0.0392689956987178,0.0703527139700174,0.2513345616792573,0.2799165920515087,-0.4499628329087755
main,BASE,BRIDGE_H2_P0,True,0.3798329999999961,0.0497745073842225,0.0545620561830617,0.1093851589182616,0.4988067551634989,-0.2363760451157602
main,BASE,BRIDGE_H2_P1,True,0.3959585000000057,0.0516163349129423,0.057163351282985,0.1167631529168244,0.4895666985260754,-0.2471713400002735
main,BASE,BRIDGE_H5_P0,True,0.2729299999999957,0.0370797481788161,0.0473378015801628,0.1476119288471513,0.3206908950372159,-0.3046330298840474
main,BASE,BRIDGE_H5_P1,True,0.3998930000000003,0.0520629838130646,0.0610393522046949,0.1435699456004164,0.4251541083297447,-0.3709304120243464
main,BASE,GAP_DIRECT_H1_FULL,True,0.0287615000000012,0.0042872611769178,0.0078517811367238,0.0843700117123181,0.0930636487700938,-0.2653840717546124
main,BASE,GAP_DIRECT_H1_VOL10,True,0.0203780000000032,0.0030482159075869,0.0044223558291668,0.0524393872771266,0.0843327136107836,-0.1497512408679335
main,BASE,GAP_DIRECT_H3_FULL,True,-0.2181219999999985,-0.0364426272453879,-0.0314384805078942,0.1060682595144742,-0.296398570616727,-0.3020251327810473
main,BASE,GAP_DIRECT_H3_VOL10,True,-0.1325670000000012,-0.0212281231398242,-0.01908429275847,0.0684906222913359,-0.2786409601783421,-0.2115312891082952
main,BASE,GAP_ABSORBED_H1_FULL,True,-0.0515494999999998,-0.0079532504821977,-0.0069257014287472,0.0458116858221233,-0.1511776155900097,-0.11116749540054
main,BASE,GAP_ABSORBED_H1_VOL10,True,-0.039344000000001,-0.0060375683204287,-0.0054561353804383,0.0344538408860752,-0.1583607296057214,-0.0928057880875563
main,BASE,GAP_ABSORBED_H3_FULL,True,-0.0691229999999993,-0.0107485542732424,-0.0091947326125719,0.0565858901536171,-0.1624916138565723,-0.1464573664835549
main,BASE,GAP_ABSORBED_H3_VOL10,True,-0.0702035000000002,-0.0109218805028908,-0.0101084348299536,0.0416379847200793,-0.2427695503975491,-0.1254187321476793
main,BASE,BUY_HOLD,True,0.2681359999999972,0.0364895306004631,0.052035065232853,0.1799065310413745,0.2892338867947273,-0.4092522996076269
main,STRESS,BRIDGE_H2_P0,True,0.2745654999999979,0.037280672449529,0.040474970903391,0.0879767953332092,0.4600641652164456,-0.1602226979604258
main,STRESS,BRIDGE_H2_P1,True,0.2443170000000013,0.0335286325653121,0.03746917037739,0.0945620703559547,0.3962388961699646,-0.1929523480494774
main,STRESS,BRIDGE_H5_P0,True,0.2274465,0.0314022365560391,0.0391374587739191,0.1279692117669219,0.3058349600933902,-0.2663193336162529
main,STRESS,BRIDGE_H5_P1,True,0.3207124999999995,0.0428616255015461,0.0496036954246997,0.123665674351346,0.4011112678185125,-0.3233505998824184
main,STRESS,GAP_DIRECT_H1_FULL,True,0.0366860000000029,0.0054506106843812,0.0084495366521115,0.0775070310216557,0.1090163891034701,-0.2530647055016777
main,STRESS,GAP_DIRECT_H1_VOL10,True,0.0159130000000015,0.002384776202879,0.003582973927493,0.0489550753048327,0.0731890188133224,-0.1465520565066544
main,STRESS,GAP_DIRECT_H3_FULL,True,-0.1716465000000003,-0.0280118417452893,-0.0233221127514301,0.1003686503966335,-0.2323645148088234,-0.2801409036603013
main,STRESS,GAP_DIRECT_H3_VOL10,True,-0.1339055000000011,-0.0214561361431746,-0.0195215899439894,0.0654595221577315,-0.2982238381904181,-0.2062128084763294
main,STRESS,GAP_ABSORBED_H1_FULL,True,-0.0539179999999984,-0.0083274151531909,-0.0073373835921342,0.0450583006973168,-0.1628419953389666,-0.1108150387430826
main,STRESS,GAP_ABSORBED_H1_VOL10,True,-0.038117500000002,-0.0058462108879413,-0.0052946973111588,0.033560112001906,-0.1577675697523941,-0.0924205214731817
main,STRESS,GAP_ABSORBED_H3_FULL,True,-0.0677949999999994,-0.0105357596866021,-0.0090490587955894,0.0553737450265579,-0.1634178578900408,-0.1454892969016315
main,STRESS,GAP_ABSORBED_H3_VOL10,True,-0.0686534999999986,-0.0106732936147298,-0.0098947188749297,0.0407412963290282,-0.2428670603659646,-0.1230335505959219
main,STRESS,BUY_HOLD,True,0.2681359999999971,0.0364895306004631,0.052035065232853,0.1799065310413745,0.2892338867947272,-0.4092522996076267
