period,cost,model,same_quantity_path,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown
earlier,BASE,BRIDGE_H2_P0,True,0.4566339999999963,0.0775287882599859,0.0925358563091388,0.188390756810958,0.491191064124205,-0.3739314361321241
earlier,BASE,BRIDGE_H2_P1,True,0.3340300000000002,0.0588837833445838,0.0759010241798109,0.1923971175720304,0.3945018778745205,-0.3742303303333478
earlier,BASE,BRIDGE_H5_P0,True,0.3342909999999987,0.05892490786261,0.0825079134915539,0.2237882634476644,0.3686874021918911,-0.4559658467178782
earlier,BASE,BRIDGE_H5_P1,True,0.230720499999999,0.0420744688861297,0.0669063639733552,0.2259162900440965,0.2961555537243279,-0.4335377891891199
earlier,BASE,GAP_DIRECT_H1_FULL,True,-0.0098284999999986,-0.0019589177653167,-0.000917508787285,0.0456763462508057,-0.0200871755863971,-0.0816906533706435
earlier,BASE,GAP_DIRECT_H1_VOL10,True,-0.0241414999999986,-0.0048397020602562,-0.0044829997302602,0.0271164762299648,-0.1653238308783776,-0.0728166679804884
earlier,BASE,GAP_DIRECT_H3_FULL,True,-0.0474949999999968,-0.0096136231105323,-0.0081045510267913,0.0557687597627856,-0.1453242112835992,-0.1349320536487681
earlier,BASE,GAP_DIRECT_H3_VOL10,True,-0.0688499999999988,-0.0140618405644,-0.0136556569860645,0.0317569566674927,-0.4300052152051099,-0.1067520379970297
earlier,BASE,GAP_ABSORBED_H1_FULL,True,-0.0059679999999997,-0.0011876312733285,-0.0010512647727316,0.0165544192776712,-0.0635035729794302,-0.0337967857137541
earlier,BASE,GAP_ABSORBED_H1_VOL10,True,-0.0067315000000005,-0.0013399796970953,-0.0012667900611561,0.0121665398856677,-0.1041208160299091,-0.0238958135753967
earlier,BASE,GAP_ABSORBED_H3_FULL,True,-0.0103794999999996,-0.0020691981124205,-0.0018250685350768,0.0222051563109618,-0.0821912041292824,-0.0338012954670575
earlier,BASE,GAP_ABSORBED_H3_VOL10,True,-0.0211969999999997,-0.0042443074343226,-0.0041389611743956,0.015116981384752,-0.2737954800004225,-0.0444365274804776
earlier,BASE,BUY_HOLD,True,0.2141210000000001,0.0392689956987178,0.0703527139700174,0.2513345616792573,0.2799165920515087,-0.4499628329087755
earlier,STRESS,BRIDGE_H2_P0,True,0.3484480000000015,0.0611459598316589,0.0728432028873013,0.1636689514845919,0.4450642728908722,-0.3355982354355715
earlier,STRESS,BRIDGE_H2_P1,True,0.2359420000000042,0.0429506807561006,0.0563739017841876,0.1683010735523007,0.3349586582801509,-0.3357602316913812
earlier,STRESS,BRIDGE_H5_P0,True,0.2680960000000021,0.0482819550957301,0.0683489927904216,0.2050031262848802,0.3334046364514524,-0.4419117093882851
