period,component,mean_log_annualized,conditional_low,conditional_high,block,repetitions,selection_adjusted
earlier,intraday_log,0.18315611094273282,0.007281858852147315,0.3558964876896118,20,2000,False
earlier,overnight_log,-0.1387465381093623,-0.24059914330408083,-0.04668252167929163,20,2000,False
main,intraday_log,0.11666222008170164,0.0011312537659705494,0.22979429974435212,20,2000,False
main,overnight_log,-0.07807562700367157,-0.14346884741985835,-0.007012989799399225,20,2000,False
