period,cost,model,mode,historical_evidence_class,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,terminal_equity,mean_exposure,trade_count,commission,slippage_cost,holding_closes,risk_days,max_accounting_error,point_met
earlier,BASE,BRIDGE_H2_P0,BRIDGE,DAILY_FILL_ASSUMPTION,-0.3452013125999971,-0.0806241343963431,-0.0553466159684025,0.2388322145269694,-0.2317384866946108,-0.5810625683147594,1219,130959.73747999994,0.4986965465045916,1218,40342.56252,120024.49999999988,610,1219,5.2864379540551454e-11,False
earlier,BASE,BRIDGE_H2_P1,BRIDGE,DAILY_FILL_ASSUMPTION,-0.3997384146000018,-0.0963600622012644,-0.0718147690765837,0.241860474765812,-0.2969264372201383,-0.5809184670629463,1219,120052.31707999976,0.498695104651592,1216,36917.88292,109835.79999999989,610,1218,3.942091097997036e-11,False
earlier,BASE,BRIDGE_H5_P0,BRIDGE,DAILY_FILL_ASSUMPTION,-0.0298580697999986,-0.0059997482355297,0.0254657974719983,0.2499522749469632,0.1018826393054509,-0.4910137259159278,1219,194028.38603999987,0.7973010988813083,488,18384.013960000004,54445.7999999995,975,1219,5.5052851166692556e-11,False
earlier,BASE,BRIDGE_H5_P1,BRIDGE,DAILY_FILL_ASSUMPTION,-0.1154365543999983,-0.0240569881129964,0.0076211198220949,0.2521073006652913,0.0302296672963592,-0.5018267492019203,1219,176912.6891200001,0.796269502197399,488,17367.810879999997,51863.60000000005,974,1218,4.274625098332763e-11,False
earlier,BASE,GAP_DIRECT_H1_FULL,GAP_DIRECT,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.0564297335000003,-0.0114648913144099,-0.0104277872845799,0.0469449145663608,-0.2221281555393891,-0.1058117387994316,1219,188714.0532999999,0.0556189760936052,234,2535.0467,6785.200000000012,173,234,4.014921728412446e-11,False
earlier,BASE,GAP_DIRECT_H1_VOL10,GAP_DIRECT,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.058241466699999,-0.0118419927447329,-0.0115262828545338,0.027751780859926,-0.4153348901359318,-0.0936791760894024,1219,188351.70666000005,0.0336082466402327,214,1900.29334,4919.700000000029,149,214,3.787192781601334e-11,False
earlier,BASE,GAP_DIRECT_H3_FULL,GAP_DIRECT,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.0871574524999985,-0.0179408302695007,-0.0164707389206572,0.0571156996090318,-0.2883749832953582,-0.1518632882123359,1219,182568.50950000025,0.0895861066653706,203,2171.9905,5760.500000000074,253,305,4.099831585335778e-11,False
earlier,BASE,GAP_DIRECT_H3_VOL10,GAP_DIRECT,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.0977724486000002,-0.0202185829592356,-0.0198982203496964,0.0324092492064484,-0.6139673345390944,-0.1254869128091582,1219,180445.51028000005,0.0565160365820263,187,1615.8897200000004,4168.600000000054,241,297,3.75734998669941e-11,False
earlier,BASE,GAP_ABSORBED_H1_FULL,GAP_ABSORBED,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.0201828601999993,-0.0040395749546406,-0.0039078940716358,0.0167134668939371,-0.2338170827414309,-0.0371858850048691,1219,195963.42796000003,0.0095558570451866,109,887.9720400000001,1954.999999999986,67,109,3.6180836104904295e-11,False
earlier,BASE,GAP_ABSORBED_H1_VOL10,GAP_ABSORBED,MINUTE_SOURCE_DIAGNOSTIC_ONLY,-0.0186111141999995,-0.0037226093964094,-0.0036535098011728,0.012320739714475,-0.2965333158430859,-0.0316862378151071,1219,196277.77716,0.0072589266648489,104,764.22284,1611.6999999999805,62,104,3.126032765976561e-11,False
