period,cost,model,status,rows,trade_rows,filled_legs
earlier,BASE,BRIDGE_H2_P0,PASS,1219,1219,1218
earlier,BASE,BRIDGE_H2_P1,PASS,1219,1218,1216
earlier,BASE,BRIDGE_H5_P0,PASS,1219,489,488
earlier,BASE,BRIDGE_H5_P1,PASS,1219,489,488
earlier,BASE,GAP_DIRECT_H1_FULL,PASS,1219,234,234
earlier,BASE,GAP_DIRECT_H1_VOL10,PASS,1219,214,214
earlier,BASE,GAP_DIRECT_H3_FULL,PASS,1219,203,203
earlier,BASE,GAP_DIRECT_H3_VOL10,PASS,1219,187,187
earlier,BASE,GAP_ABSORBED_H1_FULL,PASS,1219,109,109
earlier,BASE,GAP_ABSORBED_H1_VOL10,PASS,1219,104,104
earlier,BASE,GAP_ABSORBED_H3_FULL,PASS,1219,103,103
earlier,BASE,GAP_ABSORBED_H3_VOL10,PASS,1219,98,98
earlier,BASE,BUY_HOLD,PASS,1219,2,2
earlier,STRESS,BRIDGE_H2_P0,PASS,1219,1219,1216
earlier,STRESS,BRIDGE_H2_P1,PASS,1219,1218,1214
earlier,STRESS,BRIDGE_H5_P0,PASS,1219,489,488
earlier,STRESS,BRIDGE_H5_P1,PASS,1219,489,486
earlier,STRESS,GAP_DIRECT_H1_FULL,PASS,1219,232,232
earlier,STRESS,GAP_DIRECT_H1_VOL10,PASS,1219,214,214
earlier,STRESS,GAP_DIRECT_H3_FULL,PASS,1219,203,203
earlier,STRESS,GAP_DIRECT_H3_VOL10,PASS,1219,186,186
earlier,STRESS,GAP_ABSORBED_H1_FULL,PASS,1219,109,109
earlier,STRESS,GAP_ABSORBED_H1_VOL10,PASS,1219,104,104
earlier,STRESS,GAP_ABSORBED_H3_FULL,PASS,1219,103,103
earlier,STRESS,GAP_ABSORBED_H3_VOL10,PASS,1219,98,98
earlier,STRESS,BUY_HOLD,PASS,1219,2,2
main,BASE,BRIDGE_H2_P0,PASS,1604,1604,1604
main,BASE,BRIDGE_H2_P1,PASS,1604,1603,1602
main,BASE,BRIDGE_H5_P0,PASS,1604,642,642
main,BASE,BRIDGE_H5_P1,PASS,1604,643,642
main,BASE,GAP_DIRECT_H1_FULL,PASS,1604,453,452
main,BASE,GAP_DIRECT_H1_VOL10,PASS,1604,422,421
main,BASE,GAP_DIRECT_H3_FULL,PASS,1604,328,327
main,BASE,GAP_DIRECT_H3_VOL10,PASS,1604,312,311
main,BASE,GAP_ABSORBED_H1_FULL,PASS,1604,224,223
main,BASE,GAP_ABSORBED_H1_VOL10,PASS,1604,219,218
main,BASE,GAP_ABSORBED_H3_FULL,PASS,1604,194,193
main,BASE,GAP_ABSORBED_H3_VOL10,PASS,1604,188,187
main,BASE,BUY_HOLD,PASS,1604,2,2
main,STRESS,BRIDGE_H2_P0,PASS,1604,1604,1604
main,STRESS,BRIDGE_H2_P1,PASS,1604,1603,1602
main,STRESS,BRIDGE_H5_P0,PASS,1604,642,642
main,STRESS,BRIDGE_H5_P1,PASS,1604,643,642
main,STRESS,GAP_DIRECT_H1_FULL,PASS,1604,448,447
main,STRESS,GAP_DIRECT_H1_VOL10,PASS,1604,417,416
main,STRESS,GAP_DIRECT_H3_FULL,PASS,1604,330,329
main,STRESS,GAP_DIRECT_H3_VOL10,PASS,1604,309,308
main,STRESS,GAP_ABSORBED_H1_FULL,PASS,1604,223,222
main,STRESS,GAP_ABSORBED_H1_VOL10,PASS,1604,219,218
main,STRESS,GAP_ABSORBED_H3_FULL,PASS,1604,194,193
main,STRESS,GAP_ABSORBED_H3_VOL10,PASS,1604,187,186
main,STRESS,BUY_HOLD,PASS,1604,2,2
