period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,terminal_equity,mean_exposure,trade_count,commission,slippage_cost,holding_closes,risk_days,max_accounting_error,point_met
earlier,BASE,BRIDGE_H2_P0,2015,-0.042000896899999,-0.0416639012119662,0.0383992388180451,0.4011531854630515,0.0957221336126767,-0.4348313450251289,244,191599.82061999987,0.5014936236941964,243,10177.97938,30177.500000000044,123,244,5.2864379540551454e-11,False
earlier,BASE,BRIDGE_H2_P0,2016,-0.1450347827575132,-0.1439359761113348,-0.136393494853005,0.1940771157495547,-0.7027798940963904,-0.2072850459435879,244,163811.1822599996,0.4984252015720827,244,8154.53836,25082.39999999987,122,244,3.629452294262592e-11,False
earlier,BASE,BRIDGE_H2_P0,2017,0.0681090656087943,0.0675323561670675,0.0709391476531261,0.1058225522589316,0.6703594473846075,-0.0758451339540768,244,174968.20881999985,0.4989567221610387,244,8280.873440000001,24524.499999999884,122,244,3.9605652091267984e-11,False
earlier,BASE,BRIDGE_H2_P0,2018,-0.3302441607517622,-0.3291384494272902,-0.3783039075290541,0.2028214875013279,-1.8652062569385168,-0.3743274217796434,243,117185.97953999991,0.4962829019661406,243,7238.029279999999,21884.20000000007,121,243,3.6422420635062736e-11,False
earlier,BASE,BRIDGE_H2_P0,2019,0.1175375927569784,0.1165201105929968,0.1273023406116593,0.18561665744662,0.6858346786482196,-0.185578842760395,244,130959.73747999994,0.498314391143686,244,6491.14206,18355.899999999998,122,244,4.020250798930647e-11,False
earlier,BASE,BRIDGE_H2_P1,2015,-0.1220129948000025,-0.1210760466168253,-0.0441187648434571,0.4102119351015388,-0.1075511487312931,-0.4348685911171067,244,175597.40103999962,0.5016990275307497,241,9278.09896,27509.30000000004,123,243,3.8980374483799096e-11,False
earlier,BASE,BRIDGE_H2_P1,2016,-0.145267613124805,-0.1441671950733772,-0.1366625853866598,0.1940790221986174,-0.7041594904924937,-0.2072946384423329,244,150088.7857199998,0.498379450248805,244,7471.31532,22980.999999999884,122,244,3.8596681406488636e-11,False
earlier,BASE,BRIDGE_H2_P1,2017,0.0681389920701965,0.0675620213003015,0.0709684052853518,0.1058362263130026,0.6705492793693162,-0.0758173216617494,244,160315.6843,0.4989515671186393,244,7587.401420000001,22470.99999999989,122,244,3.4859226616390515e-11,False
earlier,BASE,BRIDGE_H2_P1,2018,-0.3300521030804722,-0.3289468664633563,-0.3780220692878602,0.2028053158234663,-1.8639652898295471,-0.3741280345969484,243,107403.15553999996,0.496202636525302,243,6631.928760000001,20051.30000000006,121,243,3.942091097997036e-11,False
earlier,BASE,BRIDGE_H2_P1,2019,0.1177727179094736,0.1167530959700477,0.1275062208980212,0.185592474340871,0.6870225818738487,-0.1854466891304734,244,120052.31707999976,0.4982326268011594,244,5949.13846,16823.199999999993,122,244,2.4300561562995423e-11,False
earlier,BASE,BRIDGE_H5_P0,2015,0.0051310891999997,0.005088924258358,0.0938767268965351,0.4196108657977643,0.2237232982946156,-0.4806975019805264,244,201026.21783999988,0.7997104089133003,97,4198.9821600000005,12389.900000000003,196,244,5.5052851166692556e-11,False
earlier,BASE,BRIDGE_H5_P0,2016,-0.1447803123031684,-0.1436832674223105,-0.1341759238487812,0.2035778855241368,-0.6590888961407989,-0.2421084324370932,244,171921.5792399998,0.7969810372815493,98,3360.8386,10335.599999999871,195,244,3.4916070035251317e-11,False
