model,minimum_cagr,minimum_sharpe,all_four_met
BRIDGE_H2_P0,-0.2435853430566945,-1.5642982833848882,False
BRIDGE_H2_P1,-0.2420950730192338,-1.4320384740501428,False
BRIDGE_H5_P0,-0.0949889983857251,-0.461335908351449,False
BRIDGE_H5_P1,-0.0890847553507834,-0.3636932441473827,False
GAP_ABSORBED_H1_FULL,-0.0335902393685708,-0.6649616864113209,False
GAP_ABSORBED_H1_VOL10,-0.0257106015274072,-0.6984973779806682,False
GAP_ABSORBED_H3_FULL,-0.0319898391241382,-0.5127565888314349,False
GAP_ABSORBED_H3_VOL10,-0.0273912727212062,-0.6199697368741086,False
GAP_DIRECT_H1_FULL,-0.0630138206400895,-0.6418171287164435,False
GAP_DIRECT_H1_VOL10,-0.0455655277895291,-0.7889630241012595,False
GAP_DIRECT_H3_FULL,-0.0803539648124061,-0.6589704726918173,False
GAP_DIRECT_H3_VOL10,-0.0575204070452586,-0.7798226050127933,False
