period,model,decision_origins,breadth_valid_origins,entry_no_view_origins,eligible_entry_origins
evaluation,BREADTH_MAJORITY_TREND,1604,1592,12,521
evaluation,PRICE20_ONLY,1604,1592,0,806
earlier_diagnostic,BREADTH_MAJORITY_TREND,1219,757,462,293
earlier_diagnostic,PRICE20_ONLY,1219,757,0,707
