date,members,scoreable_members,coverage,saved_breadth,recomputed_breadth
2015-01-05,300,0,0.0,,
2015-01-06,300,0,0.0,,
2015-01-07,300,0,0.0,,
2015-01-08,300,0,0.0,,
2015-01-09,300,0,0.0,,
2015-01-12,300,0,0.0,,
2015-01-13,300,0,0.0,,
2015-01-14,300,0,0.0,,
2015-01-15,300,0,0.0,,
2015-01-16,300,0,0.0,,
2015-01-19,300,0,0.0,,
2015-01-20,300,0,0.0,,
2015-01-21,300,0,0.0,,
2015-01-22,300,0,0.0,,
2015-01-23,300,0,0.0,,
2015-01-26,300,0,0.0,,
2015-01-27,300,0,0.0,,
2015-01-28,300,0,0.0,,
2015-01-29,300,0,0.0,,
2015-01-30,300,293,0.9766666666666667,,
2015-02-02,300,293,0.9766666666666667,,
2015-02-03,300,294,0.98,0.40816326530612246,0.40816326530612246
2015-02-04,300,294,0.98,0.40476190476190477,0.40476190476190477
2015-02-05,300,294,0.98,0.391156462585034,0.391156462585034
2015-02-06,300,294,0.98,0.36394557823129253,0.36394557823129253
2015-02-09,300,295,0.9833333333333333,0.3389830508474576,0.3389830508474576
2015-02-10,300,294,0.98,0.35374149659863946,0.35374149659863946
2015-02-11,300,294,0.98,0.43197278911564624,0.43197278911564624
2015-02-12,300,294,0.98,0.43197278911564624,0.43197278911564624
2015-02-13,300,293,0.9766666666666667,,
2015-02-16,300,292,0.9733333333333334,,
2015-02-17,300,292,0.9733333333333334,,
2015-02-25,300,292,0.9733333333333334,,
2015-02-26,300,292,0.9733333333333334,,
2015-02-27,300,292,0.9733333333333334,,
2015-03-02,300,293,0.9766666666666667,,
2015-03-03,300,294,0.98,0.4965986394557823,0.4965986394557823
2015-03-04,300,294,0.98,0.6224489795918368,0.6224489795918368
2015-03-05,300,294,0.98,0.6258503401360545,0.6258503401360545
2015-03-06,300,295,0.9833333333333333,0.688135593220339,0.688135593220339
2015-03-09,300,295,0.9833333333333333,0.8576271186440678,0.8576271186440678
2015-03-10,300,295,0.9833333333333333,0.7423728813559322,0.7423728813559322
2015-03-11,300,295,0.9833333333333333,0.7694915254237288,0.7694915254237288
2015-03-12,300,295,0.9833333333333333,0.9050847457627119,0.9050847457627119
