period,cost,model,entry_origin_breadth_group,cycles,positive_cycles,total_cycle_profit
evaluation,BASE,BREADTH_MAJORITY_TREND,多数上涨,62,15,-17356.962160000054
evaluation,BASE,PRICE20_ONLY,多数上涨,32,5,9227.706999999878
evaluation,BASE,PRICE20_ONLY,未过半,50,9,-52971.854760000075
evaluation,STRESS,BREADTH_MAJORITY_TREND,多数上涨,62,13,-32357.63659999979
evaluation,STRESS,PRICE20_ONLY,多数上涨,32,5,2071.2254400003003
evaluation,STRESS,PRICE20_ONLY,未过半,50,9,-62571.41399999996
earlier_diagnostic,BASE,BREADTH_MAJORITY_TREND,多数上涨,30,15,84907.99959999966
earlier_diagnostic,BASE,PRICE20_ONLY,广度缺失,26,6,-13494.911820000016
earlier_diagnostic,BASE,PRICE20_ONLY,未过半,21,5,1871.7418400000897
earlier_diagnostic,BASE,PRICE20_ONLY,多数上涨,9,5,3778.7709000000323
earlier_diagnostic,STRESS,BREADTH_MAJORITY_TREND,多数上涨,30,15,72339.58379999993
earlier_diagnostic,STRESS,PRICE20_ONLY,广度缺失,26,6,-20065.858479999937
earlier_diagnostic,STRESS,PRICE20_ONLY,未过半,21,5,-4549.398799999937
earlier_diagnostic,STRESS,PRICE20_ONLY,多数上涨,9,5,1257.2092000000125
